wid,Q0,Q1,Q2,Q3,Q4
w958d5e9,No. ,Too long. ,No. ,No. ,n/a. 
wb4faa62,I did not,The instructions seemed very clear to me.,The interface was ok.,I could not use my numpad on the math section so I do feel a little cheated but I probably only got half of them in time.,The math portion could be just a second or two slower or even have a pause in between each equation. It took me until the very last question to even notice my numpad didn't work.
w1f40bb2,Did not notice anything,Not confusing,No,No,
w012726e,"Not really, I was too focused on making sure I typed my answers as fast as I could",No easy to understand and straightforward ,no it was very easy,no tech problems,I really enjoyed this study and found it quite fun to complete
w606a8e2,no,no,no,no,
w46be8ce,I did not,,,,
w0f5b403,No,No,No,No,No
we57bf68,,,,,
w085a8ea,no,no,no,no,na
wb6b9608,"No, I was so concentrated on getting the right answer that I didn’t notice anything about the letters.","No, the instructions were clear.",No,No,This was a very interesting and fun study to be part of.
w954126e,I did not see letters that flashed,no. the instructions were adequate and concise.,no,no,
w2dfb0f0,No,No,No,NO,
w23b1309,"
no. I didn't see the letters flash?","no, they were just fine.",no,no,thank you
w34418db,I didn't notice anything.,Yes sometimes the instruction would go by too fast and I would be confused. ,No,No,N/A
wd1d22a5,I'm not sure what you mean by flashing letters. I noticed the words were green when I got it correct and red when I got it incorrect. If there were flashed letters with the images I didn't notice them.,The instructions were pretty clear and concise.,The interface was easy to use.,No.,None.
wc1626b1,no,no,no,no,
w5e5d32c,Nope,They were clear,No,Everything was okay,.
w815074c,no...,No I just am slow to process and need more time to reread.,no.,no.,The study was fun to do. The element of time and the added on incentive of getting a bonus raised the stakes for me and almost made it more difficult to think quickly on the spot.
w2baccaf,They were sometimes a bit random,No,No,No,
w3263fd7,Words were more related to the environment in the picture?,No,No,No,I was quite surprised at how difficult it was for me to remember the words associated with the images. I remembered the images very well but could not recall many of the words.
