wid,rt,typing_rt,word,word_type,response_type,response,type_time
w0070691,5405,7079.0,ancestor,high,correct,ancestor,2639.0
w0070691,4494,5204.0,switch,low,other,shape,1526.0
w0070691,2210,2876.0,poet,low,other,crew,1050.0
w0070691,1701,2412.0,coal,low,other,tree,1101.0
w0070691,1396,1811.0,dog,high,correct,dog,688.0
w0070691,1934,2726.0,buckle,low,other,built,2251.0
w0070691,1375,2173.0,teenager,high,other,tent,1081.0
w0070691,2968,4044.0,juvenile,high,other,build,2689.0
w0070691,2455,3031.0,monk,high,other,kitchen,1204.0
w0070691,1337,2445.0,queen,high,other,beacj,1651.0
w0070691,1776,2413.0,nurse,high,other,gym,1077.0
w0070691,1251,4615.0,stamp,low,other,shelf,3785.0
w0070691,946,1541.0,thief,high,correct,thief,1002.0
w0070691,1381,2449.0,scout,low,other,city,1421.0
w0070691,1090,1619.0,pick,low,other,"ho,e",836.0
w0070691,1867,3777.0,smog,low,other,cough,2563.0
w0070691,848,1360.0,boy,high,correct,boy,729.0
w0070691,885,1450.0,wife,high,other,statue,1265.0
w0070691,811,1206.0,radio,low,other,shelf,789.0
w0070691,678,1118.0,microphone,low,other,train,992.0
wa1bd803,7360,8520.0,monk,high,correct,monk,1648.5500000417233
wa1bd803,9249,9880.0,student,high,intrusion,saliva,1911.7550000082701
wa1bd803,1256,2208.0,photo,low,correct,photo,1624.0850000176579
wa1bd803,2424,2840.0,mummy,high,correct,mummy,1240.025000181049
wa1bd803,1160,2592.0,snob,high,correct,snob,1999.9450000468642
wa1bd803,1240,1960.0,medicine,low,correct,medicine,1864.1800000332296
wa1bd803,2144,2792.0,bluejay,high,correct,bluejay,2168.095000088215
wa1bd803,1488,1848.0,toaster,low,correct,toaster,2319.774999981746
wa1bd803,1200,1712.0,whale,high,correct,whale,1264.0649999957532
wa1bd803,3304,3704.0,saliva,low,correct,saliva,1335.8899999875575
wa1bd803,2009,2608.0,receipt,low,correct,receipt,2670.8599999547005
wa1bd803,776,1743.0,dog,high,correct,dog,1559.720000019297
wa1bd803,3352,3712.0,chime,low,correct,chime,1287.5950001180172
wa1bd803,1168,1704.0,flask,low,correct,flask,1383.8899999391288
wa1bd803,1448,1856.0,escalator,low,correct,escalator,2216.0499999299645
wa1bd803,1784,2072.0,youth,high,correct,youth,1024.1149999201298
wa1bd803,1472,1992.0,giraffe,high,correct,giraffe,1680.0649999640882
wa1bd803,4361,4848.0,boy,high,correct,boy,903.4450000617653
wa1bd803,20472,28016.0,winner,low,intrusion,flask,8159.789999946952
wa1bd803,1889,2544.0,patrol,low,correct,patrol,2784.0200001373887
w115e39c,5167,6167.0,scout,low,correct,scout,2158.755000011297
w115e39c,1944,2488.0,stewardess,high,correct,stewardess,2295.040000011795
w115e39c,657,1281.0,switch,low,correct,switch,1287.3299999919254
w115e39c,735,1440.0,noose,high,correct,noose,1128.194999997504
w115e39c,1264,1569.0,dog,high,correct,dog,703.0049999884795
w115e39c,751,5624.0,microphone,low,correct,microphone,6888.030000001891
w115e39c,857,1402.0,telephone,low,correct,telephone,1550.730000002659
w115e39c,880,1425.0,youth,high,correct,youth,918.9800000021933
w115e39c,736,1215.0,coal,low,correct,coal,790.7350000023143
w115e39c,744,1336.0,smog,low,correct,smog,935.3899999987334
w115e39c,576,1176.0,knife,high,correct,knife,942.8199999965727
w115e39c,624,4399.0,crutch,low,correct,crutch,4318.710000006831
w115e39c,17693,,escalator,low,other,,520.635000008042
w115e39c,1361,1770.0,coward,high,correct,coward,1063.0700000037905
w115e39c,694,1120.0,boyfriend,high,correct,boyfriend,1222.8650000033667
w115e39c,608,2608.0,toaster,low,correct,toaster,2582.9700000031153
w115e39c,815,3665.0,juvenile,high,correct,juvenile,4608.089999994263
w115e39c,1080,4249.0,buckle,low,correct,buckle,3734.9649999960093
w115e39c,568,1817.0,horizon,high,correct,horizon,2326.839999994263
w115e39c,857,2961.0,teenager,high,correct,teenager,2871.400000003632
w81c2d70,8526,9756.0,scout,low,correct,scout,2704.0
w81c2d70,2274,3416.0,nerve,low,correct,nerve,2177.0
w81c2d70,924,1840.0,youth,high,correct,youth,3688.999999999942
w81c2d70,2130,3242.0,hammer,high,correct,hammer,6312.0
w81c2d70,3147,5313.0,goose,low,correct,goose,3326.0
w81c2d70,2550,3649.0,alligator,high,correct,alligator,6641.0
w81c2d70,2764,4147.0,pelt,low,correct,pelt,2574.0
w81c2d70,2948,4412.0,mummy,high,correct,mummy,4917.0
w81c2d70,4805,22033.0,transplant,low,correct,transplant,20440.99999999994
w81c2d70,1838,2768.0,winner,low,correct,winner,2246.0
w81c2d70,2762,3741.0,brother,high,correct,brother,2469.0
