,Q0,Q1,Q2,Q3
0,,,,
1,,,,
2,"no, they were easy to understand",,,
3,"The last experiment was a little confusing, but I ended up figuring it out. Remembering the letters AND the words was a little odd.",No. It was pretty straight-forward,No,
4,,Not difficult at all,No,
5,no problems,nope!,nope!,"I suck at memory tasks, and I was very tired today. I got frustrated with myself to be honest. Not sure how I compared, but it was quite annoying for me to have forgotten. I've always had a bad working memory!"
6,no,no,no,no
7,No.,Yes.,No.,
8,everything was great. ,was easy ,no ,
9,no,no,no,no 
