wid,practice,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type,correct,rt,first_pres_time,second_pres_time,choose_first,n_pres,odd_pres,last_word,chosen_word,choose_last_seen,total_first,total_second,prop_first,raw_strength_first,strength_first,raw_strength_second,strength_second,rel_strength,chosen_strength,typing_rt_z
w2f1698c,FALSE,left,empire,finger,left,4337.180000002263,4888.769999990473,empire,empire,5950.109999976121,correct,TRUE,4888.769999990473,1709.2049999919254,784.1199999966193,TRUE,3,TRUE,empire,empire,TRUE,3553.060000005644,784.1199999966193,0.8192097169137066,-6.629375550022033,0.764703338959563,-6.627686555768514,0.7739302020305941,-0.009226863071031155,0.764703338959563,2.9550611722491342
w2f1698c,FALSE,left,editorial,elephant,right,2412.3250000120606,2808.2850000064354,elephant,elephant,4147.5700000009965,correct,TRUE,2808.2850000064354,725.8049999945797,1686.520000017481,FALSE,2,FALSE,elephant,elephant,TRUE,725.8049999945797,1686.520000017481,0.3008736384985236,-6.974267492567482,-1.1194183633719936,-6.627049198381551,0.7774120429691075,-1.8968304063411012,0.7774120429691075,-0.2284368258038346
w2f1698c,FALSE,left,jeans,rebel,left,2383.6299999966286,2837.24500000244,jeans,jeans,3982.1050000027753,correct,TRUE,2837.24500000244,714.414999994915,560.6249999837019,TRUE,3,TRUE,jeans,jeans,TRUE,1823.0050000129268,560.6249999837019,0.7648020036731813,-6.629808618565702,0.7623375143604064,-6.652144783388655,0.6403165341682288,0.12202098019217766,0.7623375143604064,-0.1841230710727973
w2f1698c,FALSE,right,well,strawberry,left,3622.139999992214,3939.654999994673,strawberry,strawberry,6845.19999998156,correct,TRUE,3939.654999994673,1574.1199999756645,2048.0200000165496,FALSE,2,FALSE,strawberry,strawberry,TRUE,1574.1199999756645,2048.0200000165496,0.4345828708937391,-6.556055116407863,1.1652479825289432,-6.677531261575845,0.5016318953064572,0.663616087222486,0.5016318953064572,1.5027528391288016
w2f1698c,FALSE,right,tiger,tart,left,2724.5049999910407,3037.8149999887682,tart,tart,3478.6949999979697,correct,TRUE,3037.8149999887682,1275.4899999999907,1449.01499999105,FALSE,2,FALSE,tart,tart,TRUE,1275.4899999999907,1449.01499999105,0.46815476572962245,-7.074005636748475,-1.6642811995831317,-6.517706677839105,1.3747429473131751,-3.039024146896307,1.3747429473131751,0.1227833442250101
w2f1698c,FALSE,right,suburb,sand,right,3249.7199999925215,3707.4849999917205,suburb,suburb,4668.60999999335,correct,TRUE,3707.4849999917205,893.3649999962654,625.0899999868125,TRUE,3,TRUE,suburb,suburb,TRUE,2624.630000005709,625.0899999868125,0.8076480435273651,-6.874349680991447,-0.5735740161527916,-7.050710802139682,-1.5370230702260892,0.9634490540732976,-0.5735740161527916,1.147493017393472
w2f1698c,FALSE,left,critic,antelope,right,2931.879999989178,3235.849999997299,antelope,antelope,5143.344999989495,correct,TRUE,3235.849999997299,1052.414999983739,1879.465000005439,FALSE,2,FALSE,antelope,antelope,TRUE,1052.414999983739,1879.465000005439,0.35895568713167786,-6.888283822241112,-0.6496953013822598,-6.809850155790583,-0.22121740751727892,-0.4284778938649809,-0.22121740751727892,0.4258107758462018
w2f1698c,FALSE,left,winner,barracuda,right,2305.6399999768473,2701.249999983702,barracuda,baracuda,4223.134999978356,correct,TRUE,2701.249999983702,977.3399999830872,1328.2999999937601,FALSE,2,FALSE,barracuda,barracuda,TRUE,977.3399999830872,1328.2999999937601,0.4238909803754712,-7.223323223374133,-2.4799932264423887,-6.916160543242443,-0.8019839708153752,-1.6780092556270136,-0.8019839708153752,-0.3922186883486673
w2f1698c,FALSE,left,dandelion,mister,right,1752.5949999981094,2054.420000000391,mister,mister,2628.114999999525,correct,TRUE,2054.420000000391,427.6850000023842,1324.9099999957252,FALSE,2,FALSE,mister,mister,TRUE,427.6850000023842,1324.9099999957252,0.2440295675856918,-6.892122696342427,-0.6706668148175231,-6.7124023514651405,0.3111334546659692,-0.9818002694834923,0.3111334546659692,-1.3819792538145421
w2f1698c,FALSE,left,penguin,atom,right,2626.7550000047777,2870.805000013206,atom,atom,3435.0649999978486,correct,TRUE,2870.805000013206,1042.730000015581,1584.0249999891967,FALSE,2,FALSE,atom,atom,TRUE,1042.730000015581,1584.0249999891967,0.39696507668727554,-7.113893649548264,-1.8821867558112482,-6.48714213758924,1.5417149942144126,-3.423901750025661,1.5417149942144126,-0.1327705293098184
w2f1698c,FALSE,left,follower,cauliflower,left,2386.4149999863002,2684.5249999896623,follower,follower,4661.590000003343,correct,TRUE,2684.5249999896623,781.8299999926239,814.9799999955576,TRUE,3,TRUE,follower,follower,TRUE,1571.4349999907427,814.9799999955576,0.6584919219832945,-6.973423274686831,-1.1148064573393628,-6.837520149984277,-0.3723767421742691,-0.7424297151650937,-1.1148064573393628,-0.41781079980290475
