word,pRecall,Size,Animacy,nLet,nSyl,WFlog,CDlog,Prevalence,ONsize,AoA,Concreteness,NoF,BOI,Arousal,Valence,Dominance,Graspability,Pantomime,Action,Danger,Usefulness
CRITIC,0.62745098,0.114130435,0.849315068,6,2,2.285557309,2.103803721,2.175996055,2,10.21,3.55,NaN,3.28,6.08,3.8,4.86,NaN,NaN,NaN,NaN,NaN
CROCODILE,0.80952381,0.088235294,0.917682927,9,3,2.064457989,1.851258349,2.575829304,0,5.11,4.83,14,4.291666667,6.86,4.16,3.47,NaN,NaN,NaN,NaN,NaN
CROOK,0.676470588,0.153846154,0.779005525,5,1,2.462397998,2.294466226,2.433287722,4,7.84,3.79,11,3,6.78,2.51,3.82,NaN,NaN,NaN,NaN,NaN
CROSS,0.608108108,0.624277457,0.02739726,5,1,3.448397103,3.230704314,2.438503854,6,4.74,4.44,18,5,4.81,5.26,4,NaN,NaN,NaN,NaN,NaN
CROW,0.685185185,0.68503937,0.900621118,4,1,2.357934847,2.123851641,2.575829304,10,5.74,4.93,10,4.24137931,5.43,4.61,5.4,NaN,NaN,NaN,NaN,NaN
CROWN,0.666666667,0.8,0.075630252,5,1,2.844477176,2.561101384,2.323471329,8,7.8,4.81,8,6.173913043,5.42,5.93,5.62,NaN,NaN,NaN,NaN,NaN
CRUMB,0.618181818,0.969348659,0.043478261,5,1,1.968482949,1.806179974,2.320026837,1,5.89,4.8,NaN,4.45,4.38,4.64,4.62,NaN,NaN,NaN,NaN,NaN
CRUTCH,0.5,0.302325581,0.012658228,6,1,1.832508913,1.73239376,2.440157713,3,7.21,4.5,21,5.8,5.43,3.96,4.08,NaN,NaN,NaN,NaN,NaN
CRYSTAL,0.759259259,0.930232558,0.009433962,7,2,2.915927212,2.574031268,2.260634451,3,7.78,4.58,15,4.37037037,4.96,6.43,6.72,5.75862069,3.34375,2.321428571,1.75862069,2.628571429
CUB,0.72972973,0.391666667,0.820224719,3,1,2.033423755,1.838849091,2.070334268,18,5.4,4.67,7,3.545454545,4.59,6.24,4.24,NaN,NaN,NaN,NaN,NaN
CUBE,0.681818182,0.848684211,0.017391304,4,1,2.184691431,1.963787827,2.575829304,8,7.32,4.62,NaN,4.75,4.29,5.3,5.53,NaN,NaN,NaN,NaN,NaN
CUCUMBER,0.75,0.892857143,0.43697479,8,3,2.008600172,1.86332286,2.575829304,0,5.72,4.83,8,6.04,4.28,5.82,5.86,5.965517241,3.5625,2.642857143,1.103448276,3.114285714
CUE,0.666666667,0.701086957,0.023391813,3,1,2.599883072,2.46834733,2.426670336,13,10.89,3.31,21,3,4.8,5.23,4.62,NaN,NaN,NaN,NaN,NaN
CUFF,0.628205128,0.950738916,0.024539877,4,1,2.465382851,2.376576957,2.195558355,10,8.44,4.61,12,5.333333333,5.05,4.65,4.16,NaN,NaN,NaN,NaN,NaN
CUP,0.671641791,0.970588235,0.03875969,3,1,3.42078062,3.195068996,2.333695909,17,3.57,5,10,6.043478261,4.27,5.45,5.28,NaN,NaN,NaN,NaN,NaN
CUPBOARD,0.683760684,0.216312057,0.038793103,8,2,2.10720997,2,2.168751926,0,6.39,4.79,15,5.782608696,4.12,5.43,5.65,3.75862069,4,2.142857143,1.275862069,2.542857143
CURB,0.629032258,0.432098765,0.021582734,4,1,2.322219295,2.240549248,2.163299719,5,6.81,4.68,NaN,4.72,4.54,4.83,5.47,NaN,NaN,NaN,NaN,NaN
CURTAIN,0.585365854,0.243902439,0.070422535,7,2,2.720985744,2.521138084,2.575829304,2,4.95,4.82,12,5.875,4.12,5.54,6.29,NaN,NaN,NaN,NaN,NaN
CUSHION,0.650793651,0.457831325,0.034188034,7,2,2.045322979,1.995635195,2.311238731,0,5.53,4.68,12,5.75,3.45,6.27,6.44,4.965517241,3.84375,2.321428571,1.413793103,2.6
CUSTARD,0.727272727,0.922155689,0.030075188,7,2,1.812913357,1.612783857,2.256978248,3,8.5,4.85,14,4.956521739,4.34,5.75,5.96,NaN,NaN,NaN,NaN,NaN
CUSTOMER,0.679245283,0.100558659,0.928571429,8,3,2.889861721,2.762678564,2.575829304,0,7.21,3.82,21,5.541666667,5.22,5.42,6.16,NaN,NaN,NaN,NaN,NaN
CYCLONE,0.617647059,0.072289157,0.052631579,7,2,1.397940009,1.278753601,2.33934381,0,9.58,4.48,11,2.84,7.34,3.44,3.18,NaN,NaN,NaN,NaN,NaN
CYLINDER,0.677419355,0.793939394,0.0234375,8,3,1.908485019,1.73239376,2.326347874,0,9.63,4.64,13,4.04,4.63,5.22,4.57,NaN,NaN,NaN,NaN,NaN
DAD,0.756756757,0.088,0.989010989,3,1,4.412813216,3.638688887,2.575829304,20,2.58,4.29,5,5.416666667,4.73,6.85,6.12,NaN,NaN,NaN,NaN,NaN
DAGGER,0.727272727,0.951612903,0.064516129,6,2,2.401400541,2.041392685,2.141952439,10,8.44,4.96,10,5.923076923,6.89,3.88,4.83,NaN,NaN,NaN,NaN,NaN
DAISY,0.763636364,0.946078431,0.689655172,5,2,2.838849091,2.252853031,2.435654748,2,5.5503,5,NaN,5,3.36,7.01,5.37,NaN,NaN,NaN,NaN,NaN
DAM,0.632653061,0.119133574,0.069498069,3,1,2.46834733,2.096910013,1.782465412,19,6.58,4.88,11,3.6,4.96,5.15,5.26,NaN,NaN,NaN,NaN,NaN
DANCER,0.568181818,0.073770492,0.941605839,6,2,2.920123326,2.698970004,2.181716874,7,6,4.75,23,5.090909091,5.73,6.31,5.78,NaN,NaN,NaN,NaN,NaN
DANDELION,0.823529412,0.933014354,0.628787879,9,4,1.204119983,1.079181246,2.190269839,0,5.11,5,7,5.826086957,3.61,5.82,NaN,5.448275862,3.28125,2.214285714,1.137931034,2.514285714
DANDRUFF,0.607142857,0.938596491,0.050420168,8,2,1.62324929,1.51851394,2.237251259,0,10.74,4.79,13,4.72,5.47,2.81,3.57,NaN,NaN,NaN,NaN,NaN
DART,0.636363636,0.972027972,0.046511628,4,1,1.995635195,1.857332496,2.234217736,13,7.38,4.9,13,5.291666667,5.84,4.86,5.61,NaN,NaN,NaN,NaN,NaN
DASHBOARD,0.617391304,0.222222222,0.038834951,9,2,1.707570176,1.662757832,2.325873194,1,9.21,4.61,NaN,4.208333333,4.83,5.39,5.32,NaN,NaN,NaN,NaN,NaN
DAUGHTER,0.825,0.118518519,0.983606557,8,2,3.941511433,3.476251796,2.340608636,1,4.95,4.79,13,5.192307692,4.71,6.8,5.06,NaN,NaN,NaN,NaN,NaN
DECK,0.632183908,0.18877551,0.021052632,4,1,3.083860801,2.799340549,2.436521977,10,6.45,4.77,NaN,5.541666667,4.01,5.68,5.38,NaN,NaN,NaN,NaN,NaN
DEER,0.736842105,0.080645161,0.940860215,4,1,2.648360011,2.390935107,2.176640657,13,5.17,4.86,18,4.416666667,4,6.3,4.89,NaN,NaN,NaN,NaN,NaN
DELINQUENT,0.896551724,0.179104478,0.819047619,10,3,1.857332496,1.785329835,2.248272431,0,11,2.17,18,NaN,6.55,2.85,2.86,NaN,NaN,NaN,NaN,NaN
DENIM,0.643678161,0.655172414,0.02173913,5,2,1.531478917,1.431363764,1.996890273,0,8.22,4.77,NaN,5.416666667,4.33,5.85,5.76,NaN,NaN,NaN,NaN,NaN
DENTIST,0.578947368,0.093023256,0.895348837,7,2,2.757396029,2.469822016,2.236649173,0,5.22,4.93,NaN,5.038461538,6.91,3.52,4.7,3.310344828,5.15625,2.892857143,1.965517241,3.457142857
DEODORANT,0.512195122,0.941666667,0.027777778,9,4,1.919078092,1.86923172,2.106892446,0,8.83,5,17,6.36,4.65,5.73,6.33,NaN,NaN,NaN,NaN,NaN
DEPARTMENT,0.517241379,0.050314465,0.076502732,10,3,3.512817759,3.252610341,2.019215859,1,9.84,3.3,14,2.583333333,4.8,5.06,4.83,NaN,NaN,NaN,NaN,NaN
DEPUTY,0.758064516,0.111764706,0.909090909,6,3,2.902546779,2.572871602,2.417185924,1,6.45,4.07,9,NaN,6.07,4.98,5.52,NaN,NaN,NaN,NaN,NaN
DESIGNER,0.75308642,0.063829787,0.894039735,8,3,2.428134794,2.31386722,2.321514965,3,9.05,3.78,17,3.2,5.09,5.88,5.44,NaN,NaN,NaN,NaN,NaN
DESK,0.675,0.131067961,0.027932961,4,1,3.350248018,3.147676324,2.43021246,3,5.56,4.87,18,6.260869565,4.43,5.47,5.72,NaN,NaN,NaN,NaN,NaN
DESSERT,0.651685393,0.758196721,0.036866359,7,2,2.854913022,2.726727209,2.226693847,1,5.61,4.93,13,5.695652174,5.35,7.21,5.73,NaN,NaN,NaN,NaN,NaN
DETECTIVE,0.730769231,0.068062827,0.928229665,9,3,3.493876111,2.995196292,2.34268584,1,6.58,4.21,15,4.04,6.09,5.33,4.39,NaN,NaN,NaN,NaN,NaN
DETERGENT,0.604395604,0.736842105,0.059602649,9,3,1.72427587,1.643452676,2.575829304,2,7.33,4.77,NaN,5.227272727,4.57,5.39,5.6,NaN,NaN,NaN,NaN,NaN
DIAGRAM,0.558823529,0.656804734,0.007633588,7,3,1.819543936,1.73239376,2.227972439,0,9.63,4.36,13,4.5,4.68,5.3,6.13,NaN,NaN,NaN,NaN,NaN
DIAL,0.552238806,0.906976744,0.046875,4,2,2.656098202,2.550228353,2.437378405,8,6.68,4.52,12,NaN,4.65,5.27,6.89,NaN,NaN,NaN,NaN,NaN
DIAMOND,0.746987952,0.922222222,0.029850746,7,2,3.022840611,2.675778342,2.445390799,0,6.47,4.89,17,5.304347826,5.88,6.93,5.64,NaN,NaN,NaN,NaN,NaN
DIAPER,0.569230769,0.909090909,0.023622047,6,2,2.340444115,2.206825876,2.119034029,3,3.4,4.82,NaN,5.64,5.05,3.45,4.14,NaN,NaN,NaN,NaN,NaN
DIARY,0.591549296,0.894444444,0.025125628,5,3,2.661812686,2.372912003,2.179196509,1,7.72,4.5,14,NaN,4.58,5.54,6.86,NaN,NaN,NaN,NaN,NaN
DICE,0.565789474,0.99375,0.008,4,1,2.727541257,2.471291711,2.31801421,14,6.37,4.86,23,6.192307692,5.31,5.53,4.56,NaN,NaN,NaN,NaN,NaN
DICTATOR,0.710144928,0.066350711,0.938461538,8,3,2.037426498,1.86332286,2.575829304,0,10.6,4.29,18,NaN,6.77,2.57,4.19,NaN,NaN,NaN,NaN,NaN
DICTIONARY,0.558139535,0.646464646,0.033333333,10,4,2.281033367,2.123851641,2.575829304,0,7.28,4.62,8,6.04,4.75,5.73,5.88,NaN,NaN,NaN,NaN,NaN
DIGGER,0.612903226,0.166666667,0.68202765,6,2,2.390935107,1.838849091,2.426999558,7,8.1187,4.29,17,NaN,5.14,4.94,NaN,NaN,NaN,NaN,NaN,NaN
DILL,0.757575758,0.914634146,0.343283582,4,1,1.959041392,1.531478917,1.671079974,17,8.2039,4.07,3,4.166666667,4.49,5.09,5.76,NaN,NaN,NaN,NaN,NaN
DIME,0.739130435,0.967741935,0.017964072,4,1,2.789580712,2.675778342,2.431766729,12,5.74,4.85,9,6.083333333,4.95,5.75,5.32,NaN,NaN,NaN,NaN,NaN
DINER,0.672131148,0.153846154,0.165322581,5,2,2.80140371,2.507855872,2.443347351,11,6.83,4.82,12,4.375,4.72,6.26,6.43,NaN,NaN,NaN,NaN,NaN
DINNER,0.717741935,0.45323741,0.073593074,6,2,4.014394516,3.597585502,2.338919064,7,3.99,4.5,5,5.545454545,4.76,6.83,6.05,NaN,NaN,NaN,NaN,NaN
DINOSAUR,0.72,0.056179775,0.756410256,8,3,2.309630167,2.068185862,2.310702102,0,4.91,4.87,20,3.52173913,6.32,5.87,4.41,2.482758621,5.862068966,2.151515152,4.125,3.633333333
DIPLOMA,0.62962963,0.822580645,0.024590164,7,3,2.113943352,2.017033339,2.25159581,0,9.33,4.93,11,5.96,5.51,6.69,6.82,NaN,NaN,NaN,NaN,NaN
DIRECTOR,0.684210526,0.079207921,0.939163498,8,3,3.263636069,2.908485019,2.322007011,1,8.5,4.04,NaN,NaN,5.54,5.29,6.89,NaN,NaN,NaN,NaN,NaN
DIRT,0.683333333,0.915384615,0.057377049,4,1,3.117602692,2.911157609,2.319526755,8,3.83,4.86,18,5.08,4.89,3.99,4.7,NaN,NaN,NaN,NaN,NaN
DISC,0.647058824,0.954954955,0.015706806,4,1,2.120573931,1.892094603,2.044976826,3,10,4.85,16,NaN,4.58,5.36,5.58,NaN,NaN,NaN,NaN,NaN
DISH,0.666666667,0.906504065,0.02173913,4,1,2.767155866,2.64738297,2.575829304,6,4.89,4.9,15,5.8,4.29,5.61,5.5,NaN,NaN,NaN,NaN,NaN
DISHWASHER,0.702380952,0.093023256,0.133333333,10,3,2.017033339,1.886490725,2.312305214,0,7.16,4.86,18,5.592592593,4.69,5.52,5.21,2.931034483,3.965517241,1.727272727,1.34375,3.2
DIVER,0.698529412,0.119760479,0.929078014,5,2,2.096910013,1.73239376,2.167403749,13,6.89,4.69,NaN,NaN,5.5,5.61,5.9,NaN,NaN,NaN,NaN,NaN
DOCK,0.689655172,0.088669951,0.057471264,4,1,2.697229343,2.488550717,2.254848224,16,8.22,4.64,NaN,4.541666667,4.12,5.61,5.88,NaN,NaN,NaN,NaN,NaN
DOCTOR,0.72972973,0.073529412,0.929292929,6,2,4.129109586,3.568670978,2.246583359,0,4.6,4.69,19,5.68,6.15,5.38,4.69,3.75862069,5.46875,3.714285714,2.344827586,4.885714286
DOCUMENT,0.680851064,0.905982906,0.036842105,8,3,2.712649702,2.505149978,2.341027138,0,9.86,4.41,NaN,4.818181818,4.68,5.18,5.41,NaN,NaN,NaN,NaN,NaN
DOG,0.873417722,0.263565891,0.941860465,3,1,3.99281852,3.484299839,2.439059658,18,2.8,4.85,5,6.4,4.97,7.07,5.73,NaN,NaN,NaN,NaN,NaN
DOLL,0.6,0.914529915,0.038043478,4,1,3.101747074,2.812244697,2.575829304,12,3.68,5,13,6.434782609,4.01,5.71,5.66,NaN,NaN,NaN,NaN,NaN
DOLLAR,0.658227848,0.945945946,0.038461538,6,2,3.149527014,2.941014244,2.435945037,1,5.06,4.93,9,6.24,6.02,6.63,5.07,NaN,NaN,NaN,NaN,NaN
DOLPHIN,0.742857143,0.086330935,0.9,7,2,2.152288344,1.86332286,2.425338529,0,6.05,4.96,18,4.52,4.34,6.75,5.67,NaN,NaN,NaN,NaN,NaN
DONKEY,0.661016949,0.098360656,0.95202952,6,2,2.437750563,2.212187604,2.440157713,2,6,5,10,4.826086957,4.94,5.29,5.12,3.448275862,4.103448276,2.606060606,1.96875,4.066666667
DONOR,0.591836735,0.172839506,0.847368421,5,2,2.320146286,2.120573931,2.106155586,2,10.06,3.54,NaN,3.695652174,5.09,6.29,6.79,NaN,NaN,NaN,NaN,NaN
DOOR,0.776315789,0.149253731,0.064814815,4,1,4.173069664,3.72320931,2.236044792,6,3.05,4.81,23,6.217391304,4.56,5.43,6.1,NaN,NaN,NaN,NaN,NaN
DOORBELL,0.683168317,0.93877551,0.022058824,8,2,2.629409599,2.431363764,2.575829304,0,5.05,4.82,10,5.916666667,5.47,5.12,5.12,NaN,NaN,NaN,NaN,NaN
DORM,0.725274725,0.132420091,0.048128342,4,1,2.568201724,2.274157849,2.016248596,9,9.89,4.41,NaN,4.32,5.03,5.12,5.13,NaN,NaN,NaN,NaN,NaN
DOUGH,0.76344086,0.882926829,0.054878049,5,1,2.909020854,2.610660163,2.325873194,6,6.63,4.79,13,6.086956522,4.15,6.03,5.96,NaN,NaN,NaN,NaN,NaN
DOUGHNUT,0.648648649,0.931623932,0.056338028,8,2,2.334453751,2.212187604,2.441771732,0,5.42,4.96,15,6.260869565,5.05,6.86,5.87,NaN,NaN,NaN,NaN,NaN
DOVE,0.671052632,0.771653543,0.891025641,4,1,2.45484486,2.127104798,2.575829304,17,6.63,4.88,11,4.333333333,3.07,6.62,6.14,NaN,NaN,NaN,NaN,NaN
DRAGON,0.705882353,0.02617801,0.885462555,6,2,2.99343623,2.444044796,2.442036964,0,5.58,4.39,23,1.833333333,6.96,5.39,5.17,NaN,NaN,NaN,NaN,NaN
DRAWER,0.682926829,0.305084746,0.050561798,6,1,2.822168079,2.665580991,2.197858604,1,5.37,4.67,NaN,6,4.31,5.3,5.71,NaN,NaN,NaN,NaN,NaN
DRAWING,0.661764706,0.763736264,0.036809816,7,2,2.912753304,2.752048448,2.174699993,2,4.8257,4.6,15,4.695652174,4.36,6.21,NaN,NaN,NaN,NaN,NaN,NaN
DRESS,0.757575758,0.541484716,0.023255814,5,1,3.648164779,3.339848783,2.575829304,7,4.05,4.93,15,6.16,4.66,6.09,6.64,NaN,NaN,NaN,NaN,NaN
DRESSER,0.676470588,0.127071823,0.134502924,7,2,2.26245109,2.204119983,2.310702102,3,4.28,4.96,14,5.04,4.26,5.48,4.96,3.068965517,3.620689655,2.333333333,1.75,3.066666667
DRILL,0.554054054,0.729468599,0.01025641,5,1,2.846337112,2.669316881,2.438224232,7,7.14,4.4,19,5.739130435,6,4.74,5.48,NaN,NaN,NaN,NaN,NaN
DRINK,0.641304348,0.925110132,0.031578947,5,1,4.100990523,3.638888425,2.253771823,4,3.47,4.76,20,6.074074074,4.73,6.5,5.87,NaN,NaN,NaN,NaN,NaN
DRIVER,0.673684211,0.098765432,0.894594595,6,2,3.38327665,3.145817714,2.25159581,4,4.95,4.71,16,4.565217391,5.54,5.67,5.56,NaN,NaN,NaN,NaN,NaN
DRIVEWAY,0.725490196,0.098765432,0.028708134,8,2,2.536558443,2.397940009,2.33414028,0,5.78,4.77,14,NaN,4.42,5.36,6.24,NaN,NaN,NaN,NaN,NaN
DRUG,0.575757576,0.904761905,0.023255814,4,1,3.363047595,3.039017322,2.427978434,7,8.11,4.48,20,5.375,6.2,3.69,3.67,NaN,NaN,NaN,NaN,NaN
DRUM,0.623655914,0.256521739,0.028248588,4,1,2.636487896,2.432969291,2.575829304,4,4.63,4.96,16,5.8,5.62,5.8,5.65,NaN,NaN,NaN,NaN,NaN
DRYER,0.578947368,0.192513369,0.050847458,5,2,2.365487985,2.193124598,2.109814096,4,6.16,4.79,NaN,5.56,4.43,5.48,4.57,NaN,NaN,NaN,NaN,NaN
DUCK,0.652173913,0.56875,0.92760181,4,1,3.101747074,2.847572659,2.233604032,17,3.5,4.86,16,5.041666667,4.36,6.11,5.3,NaN,NaN,NaN,NaN,NaN
DUMP,0.714285714,0.235294118,0.011627907,4,1,3.167612673,3.020361283,2.443087356,10,6.58,3.93,9,2.8,5.44,3.05,4.5,NaN,NaN,NaN,NaN,NaN
DUNE,0.712328767,0.159235669,0.035928144,4,1,1.716003344,1.462397998,1.847162323,15,9.65,4.46,NaN,3.916666667,4.05,5.43,5.15,NaN,NaN,NaN,NaN,NaN
DUNGEON,0.74025974,0.102739726,0.0390625,7,2,2.120573931,2.004321374,2.442301136,1,7.55,4.32,NaN,3.777777778,6.93,3.03,3.68,NaN,NaN,NaN,NaN,NaN
DUST,0.631578947,0.958083832,0.046666667,4,1,3.085290578,2.909556029,2.107626712,11,5.06,4.4,16,4.827586207,4.72,3.55,4.56,NaN,NaN,NaN,NaN,NaN
DUSTPAN,0.615384615,0.701492537,0.039215686,7,2,1.146128036,1.041392685,2.059922602,1,6.47,5,6,NaN,4.51,4.45,5.36,NaN,NaN,NaN,NaN,NaN
DWARF,0.692307692,0.373831776,0.874074074,5,1,2.198657087,1.973127854,2.431766729,0,7.65,4.45,NaN,4.333333333,4.83,4.82,3.84,NaN,NaN,NaN,NaN,NaN
DYNAMITE,0.659090909,0.657894737,0.060240964,8,3,2.712649702,2.447158031,2.439059658,0,7.11,4.68,16,5.260869565,7.22,3.9,4.65,NaN,NaN,NaN,NaN,NaN
EAGLE,0.8,0.177165354,0.942492013,5,2,2.768638101,2.447158031,2.323955536,0,5.83,5,11,3.739130435,5.39,6.45,5.09,NaN,NaN,NaN,NaN,NaN
EAR,0.780487805,0.974025974,0.387096774,3,1,3.212986185,3.044147621,2.148937631,13,3.63,5,14,6.652173913,4.6,5.43,6.74,NaN,NaN,NaN,NaN,NaN
EARRING,0.777777778,0.948148148,0.058252427,7,2,2.1430148,1.982271233,1.984652935,7,7.17,4.96,11,6.428571429,5.04,5.88,5.71,NaN,NaN,NaN,NaN,NaN
EARTH,0.710144928,0.042424242,0.496598639,5,1,3.705436047,3.369215857,2.449997661,2,5.37,4.8,12,5.555555556,4.82,6.95,5.69,NaN,NaN,NaN,NaN,NaN
EDITOR,0.684931507,0.102678571,0.932,6,3,2.802089258,2.519827994,2.442826326,0,10.11,4.25,11,4.5,5.09,5.32,5.9,NaN,NaN,NaN,NaN,NaN
EDITORIAL,0.666666667,0.673913043,0.067669173,9,5,2.049218023,1.929418926,2.429263461,0,13.7,3.44,NaN,NaN,4.91,5.23,5.77,NaN,NaN,NaN,NaN,NaN
EGG,0.744680851,0.953846154,0.271028037,3,1,3.123524981,2.861534411,2.342273443,3,3.89,4.97,20,6.068965517,4.36,5.95,5.74,NaN,NaN,NaN,NaN,NaN
EGYPT,0.92,0.11627907,0.195652174,5,2,2.432969291,2.146128036,NaN,0,NaN,NaN,16,NaN,5.84,5.62,NaN,NaN,NaN,NaN,NaN,NaN
ELBOW,0.806451613,0.774725275,0.242774566,5,2,2.496929648,2.397940009,2.333249838,1,4.78,5,10,6.458333333,4.6,5.13,6.02,NaN,NaN,NaN,NaN,NaN
ELECTRICIAN,0.661971831,0.097959184,0.962264151,11,4,1.886490725,1.77815125,2.575829304,0,8.75,4.21,22,4.625,5.37,5.45,5.73,NaN,NaN,NaN,NaN,NaN
ELECTRON,0.633333333,0.981308411,0.076271186,8,3,1.579783597,1.361727836,2.323955536,1,12.4,2.96,15,NaN,5.24,5.49,4.57,NaN,NaN,NaN,NaN,NaN
ELEPHANT,0.775,0.056818182,0.966386555,8,3,2.764176132,2.498310554,2.431149076,0,4.8,5,19,4.36,5.29,6.21,4.23,3.068965517,6.24137931,2.393939394,3.40625,3.8
ELEVATOR,0.69047619,0.068965517,0.057471264,8,4,3.095518042,2.830588669,2.575829304,0,5.47,4.79,14,5.486522911,5.12,5.38,4.92,2.586206897,5.24137931,2.090909091,3.4375,3.766666667
ELF,0.787878788,0.336956522,0.818791946,3,1,2.28780173,1.886490725,2.432986133,8,4.32,4.3,22,2.304347826,5.02,5.9,5.43,NaN,NaN,NaN,NaN,NaN
ELK,0.685714286,0.083333333,0.915254237,3,1,2.487138375,1.792391689,2.052178849,6,7.05,4.93,9,4.130434783,4.62,5.82,4.67,NaN,NaN,NaN,NaN,NaN
ELM,0.64556962,0.136752137,0.690566038,3,1,1.86923172,1.681241237,1.796832566,5,9.06,4.69,NaN,NaN,3.77,5.89,5.43,NaN,NaN,NaN,NaN,NaN
EMERALD,0.688172043,0.918781726,0.039325843,7,2,2.120573931,1.799340549,2.235438102,0,8.26,4.93,8,4.833333333,5.3,6.84,6.32,NaN,NaN,NaN,NaN,NaN
EMPEROR,0.632653061,0.051724138,0.937823834,7,3,2.839478047,2.267171728,1.893490406,0,7.44,4.35,15,3.52173913,5.98,4.76,5.32,NaN,NaN,NaN,NaN,NaN
EMPIRE,0.594594595,0.035294118,0.164383562,6,3,2.810904281,2.56937391,2.425673739,2,8.44,3,25,2.923076923,6.08,5.04,5.95,NaN,NaN,NaN,NaN,NaN
EMPLOYEE,0.68,0.086734694,0.960526316,8,3,2.771587481,2.633468456,2.425001797,2,7.84,4.1,9,5.045454545,5.02,5.34,4.81,NaN,NaN,NaN,NaN,NaN
EMPLOYER,0.75,0.050691244,0.945736434,8,3,2.439332694,2.315970345,2.259598934,2,10.15,3.81,7,5.291666667,5.73,5.13,3.3,NaN,NaN,NaN,NaN,NaN
ENCYCLOPEDIA,0.771084337,0.308139535,0.032051282,12,6,1.913813852,1.785329835,2.237251259,1,7.17,4.79,NaN,6.16,4.69,5.85,6.48,NaN,NaN,NaN,NaN,NaN
ENEMY,0.66,0.08974359,0.918269231,5,3,3.393575203,3.089905111,2.337204151,1,7.26,2.83,17,4.375,7.28,2.48,2.5,NaN,NaN,NaN,NaN,NaN
ENGINE,0.634146341,0.161825726,0.039408867,6,2,3.211387553,2.907411361,2.166725979,0,6.28,4.86,16,5.333333333,5.67,5.49,5.36,NaN,NaN,NaN,NaN,NaN
ENGINEER,0.768115942,0.092896175,0.926267281,8,3,2.775974331,2.514547753,2.575829304,0,9.89,4.64,NaN,5.379310345,5.11,5.8,6.53,NaN,NaN,NaN,NaN,NaN
ENVELOPE,0.637931034,0.943925234,0.007936508,8,3,2.710963119,2.514547753,2.575829304,1,6.25,4.93,10,5.64,4.44,5.38,5.5,5.586206897,4.28125,2.464285714,1.172413793,2.314285714
ERASER,0.593220339,0.947368421,0.008196721,6,3,1.716003344,1.462397998,2.442826326,2,4.95,4.74,10,5.791666667,4.44,5.33,6.89,NaN,NaN,NaN,NaN,NaN
ESCALATOR,0.5,0.101265823,0.045454545,9,4,1.826074803,1.69019608,2.230499725,0,7.11,5,7,5.52,5.15,5.54,5.31,2.620689655,4.827586207,1.575757576,2.625,3.5
ESSAY,0.663366337,0.888392857,0.020304569,5,2,2.496929648,2.11058971,2.575829304,1,8.39,3.97,17,4.333333333,5.22,4.47,5.55,NaN,NaN,NaN,NaN,NaN
EUROPE,0.773584906,0.031007752,0.243589744,6,2,3.136403448,2.887054378,NaN,0,NaN,NaN,24,NaN,5.48,6.43,NaN,NaN,NaN,NaN,NaN,NaN
EWE,0.711538462,0.242937853,0.834042553,3,1,1.230448921,0.84509804,1.744471407,6,9.31,NaN,11,NaN,3.96,5.37,NaN,NaN,NaN,NaN,NaN,NaN
EXPERT,0.697674419,0.076923077,0.903846154,6,2,3.052693942,2.925827575,2.432683248,3,9.63,2.85,18,3.130434783,5.27,6.06,6.91,NaN,NaN,NaN,NaN,NaN
EXPLOSION,0.8,0.051020408,0.058139535,9,3,2.925312091,2.670245853,2.342273443,0,7.16,4.52,15,2.481481481,7.85,3.06,3.62,NaN,NaN,NaN,NaN,NaN
EYE,0.583333333,0.944,0.504587156,3,1,3.756027213,3.507451061,2.32298518,10,3.75,4.9,13,5.72,4.96,5.75,5.72,NaN,NaN,NaN,NaN,NaN
EYELASH,0.654545455,0.950920245,0.114649682,7,2,1.653212514,1.544068044,2.336337007,1,5.8,5,NaN,5.423076923,4.61,5.65,5.05,NaN,NaN,NaN,NaN,NaN
FACE,0.698630137,0.701657459,0.430379747,4,1,4.168733129,3.749040269,2.140556014,12,3.75,4.87,20,5.857142857,4.99,6,5.96,NaN,NaN,NaN,NaN,NaN
FACTORY,0.64893617,0.090909091,0.078947368,7,3,2.933487288,2.684845362,2.243148841,1,6.89,4.76,24,4.44,5.44,4.59,5.09,NaN,NaN,NaN,NaN,NaN
FAIRY,0.821428571,0.64893617,0.774193548,5,2,2.930439595,2.63447727,2.575829304,5,5.17,4.11,13,2.083333333,4.35,6.44,6.38,NaN,NaN,NaN,NaN,NaN
FAMILY,0.776119403,0.085714286,0.875886525,6,3,4.256910082,3.727622578,2.333249838,1,3.38,4.23,25,5.291666667,4.39,7.28,5.98,NaN,NaN,NaN,NaN,NaN
FAN,0.535714286,0.447368421,0.128571429,3,1,3.25358029,3.04060234,2.346330725,22,5.63,4.71,17,5.72,4.72,6.12,6.05,NaN,NaN,NaN,NaN,NaN
FARM,0.759259259,0.082191781,0.153846154,4,1,3.185542155,2.864511081,2.450695164,7,3.85,4.59,12,5.035714286,4.19,6.19,6.08,NaN,NaN,NaN,NaN,NaN
FARMER,0.759615385,0.099644128,0.948228883,6,2,2.781755375,2.505149978,2.250496022,6,4.74,4.54,33,5.08,4.2,6.14,6.1,NaN,NaN,NaN,NaN,NaN
FATHER,0.905660377,0.088435374,0.966824645,6,2,4.451479405,3.736157375,2.575829304,5,4.11,4.52,4,6.035714286,4.75,6.55,5.19,NaN,NaN,NaN,NaN,NaN
