wid,practice,presentation_times,first_seen,first_word,second_word,response_type,choice,choice_rt,typing_rt,word,response,response_rt
wd6d832d,True,"[1860.7000000476837, 8104.100000023842, 2174.1999999284744, 7341.600000023842, 1414.2000000476837, 9224.5]",left,mountain,lever,timeout,,,,,,
wd6d832d,False,"[1108.7999999523163, 1076.2000000476837, 4620.799999952316]",left,parcel,snake,correct,left,6805.799999952316,7042.5,parcel,parcel,9269.399999976158
wd6d832d,False,"[889.2999999523163, 891.7000000476837, 1589.1000000238419]",left,house,statue,correct,left,3370.100000023842,4127.200000047684,house,house,5291.700000047684
wd6d832d,False,"[867.2000000476837, 2049.7999999523163]",left,herd,caravan,correct,right,2917.0,3657.5,caravan,caravan,4944.5
wd6d832d,False,"[914.3999999761581, 1924.3000000715256]",left,road,convict,correct,right,2838.7000000476837,3856.899999976158,convict,convict,5177.100000023842
wd6d832d,False,"[894.3000000715256, 1847.6999999284744]",left,diner,knuckle,correct,right,2742.0,3350.4000000953674,knuckle,knuckle,4833.900000095367
wd6d832d,False,"[806.6000000238419, 2274.7999999523163]",left,kid,victim,correct,right,3081.399999976158,3619.399999976158,victim,victim,4526.299999952316
wd6d832d,False,"[935.1000000238419, 1733.1000000238419]",left,tool,belt,correct,right,2668.2000000476837,3705.600000023842,belt,belt,4376.0
wd6d832d,False,"[826.0, 1316.8999999761581, 861.9000000953674, 3183, 2797.399999976158, 710.1000000238419, 2328.1999999284744, 587.0, 2442.600000023842]",left,cavity,wart,timeout,,,,,,
wd6d832d,False,"[853.1000000238419, 1442.5, 5470.399999976158, 1331.4000000953674, 1141.8999999761581, 989.0]",left,bush,aircraft,other,right,11228.300000071526,11772.900000095367,aircraft,architecht,13760.900000095367
wd6d832d,False,"[784.2000000476837, 1225.1999999284744, 1311.0]",left,beer,treasure,correct,left,3320.399999976158,3932.7000000476837,beer,beer,4564.899999976158
wd6d832d,False,"[774.2000000476837, 4025.5999999046326, 1368.6000000238419]",left,plaza,panther,other,left,6168.399999976158,6714.100000023842,plaza,flow,7398.700000047684
wd6d832d,False,"[799.3999999761581, 772.3000000715256, 784.1999999284744]",left,eye,porch,correct,left,2355.899999976158,2904.2000000476837,eye,eye,3520.399999976158
wd6d832d,False,"[810.6000000238419, 10015.199999928474, 1553.8000000715256]",left,beard,friend,intrusion,left,12379.600000023842,12907.399999976158,beard,family,13782.5
wd6d832d,False,"[840.5, 2255.399999976158, 990.0]",left,giraffe,family,intrusion,left,4085.899999976158,4631.899999976158,giraffe,victim,5496.899999976158
wd6d832d,False,"[755.2999999523163, 1112.8999999761581, 2057.899999976158]",left,planet,bride,correct,left,3926.0999999046326,4445.899999976158,planet,planet,5412.0
wd6d832d,False,"[760.1000000238419, 1449.8999999761581, 5507.699999928474]",left,officer,receipt,other,left,7717.699999928474,8248.0,officer,flow,8840.100000023842
wd6d832d,False,"[733.2999999523163, 941.2000000476837, 1889.5999999046326]",left,producer,thermometer,correct,left,3564.0999999046326,4150.099999904633,producer,producer,5520.0
wd6d832d,False,"[801.3999999761581, 1974.8999999761581, 1314.0]",left,neck,pitchfork,correct,left,4090.2999999523163,4440.100000023842,neck,neck,5166.199999928474
wd6d832d,False,"[770.1999999284744, 1625.2000000476837]",left,dorm,ranch,correct,right,2395.399999976158,2874.0,ranch,ranch,3674.0
w64856da,True,"[6128.699999988079, 2492.600000023842, 2484.399999976158]",left,suspect,server,intrusion,left,11105.699999988079,15377.100000023842,suspect,yoke,19142.899999976158
w64856da,False,[1415.199999988079],left,cop,yoke,correct,left,1415.199999988079,2123.0,cop,cop,2950.699999988079
w64856da,False,[1371.1000000238419],left,gangster,foot,correct,left,1371.1000000238419,2066.5,gangster,gangster,3431.800000011921
w64856da,False,"[2245.699999988079, 1552.6000000238419]",left,step,furniture,correct,right,3798.300000011921,4619.400000035763,furniture,furniture,6338.5
w64856da,False,[2004.2000000476837],left,guest,bandit,correct,left,2004.2000000476837,2721.800000011921,guest,guest,3677.100000023842
w64856da,False,[1842.7000000476837],left,pond,shears,correct,left,1842.7000000476837,2757.5,pond,pond,3534.5
w64856da,False,[1173.199999988079],left,shower,goblin,correct,left,1173.199999988079,1670.6000000238419,shower,shower,2769.600000023842
w64856da,False,[1282.0],left,telescope,globe,correct,left,1282.0,1704.4000000357628,telescope,telescope,3178.300000011921
w64856da,False,[1376.4000000357628],left,swatter,crayon,correct,left,1376.4000000357628,1995.300000011921,swatter,swatter,3312.7000000476837
w64856da,False,"[1100.2999999523163, 827.2000000476837, 1054.7999999523163]",left,boss,blender,correct,left,2982.2999999523163,3714.2999999523163,boss,boss,4402.199999988079
w64856da,False,[1543.4000000357628],left,mascara,shop,correct,left,1543.4000000357628,2093.100000023842,mascara,mascara,3315.600000023842
w64856da,False,"[1298.3999999761581, 1188.699999988079]",left,employer,jelly,correct,right,2487.099999964237,3109.7999999523163,jelly,jelly,3904.599999964237
w64856da,False,"[1309.300000011921, 1976.5]",left,staple,award,correct,right,3285.800000011921,4041.7000000476837,award,award,5143.300000011921
w64856da,False,[1261.1000000238419],left,desk,indian,correct,left,1261.1000000238419,1876.5,desk,desk,2635.400000035763
w64856da,False,[1312.300000011921],left,drill,pony,correct,left,1312.300000011921,1712.9000000357628,drill,drill,2651.800000011921
w64856da,False,"[960.8999999761581, 1121.199999988079]",left,fig,vest,correct,right,2082.099999964237,2473.7999999523163,vest,vest,3319.199999988079
w64856da,False,[1145.0],left,ticket,toe,correct,left,1145.0,1657.1000000238419,ticket,ticket,2665.600000023842
w64856da,False,[1400.0],left,grass,scarecrow,correct,left,1400.0,1800.5,grass,grass,2636.0
w64856da,False,[1558.4000000357628],left,chicken,biologist,correct,left,1558.4000000357628,1781.800000011921,chicken,chicken,2959.300000011921
w64856da,False,"[1624.5999999642372, 1651.2000000476837]",left,tart,hook,correct,right,3275.800000011921,3914.399999976158,hook,hook,4717.699999988079
wf8fa490,True,"[8997.099999904633, 1604.5, 465.7999999523163]",left,otter,fox,intrusion,left,11067.399999856949,12109.899999856949,otter,cello,15084.599999904633
wf8fa490,False,"[4274.900000095367, 4026.399999856949]",left,bran,hospital,correct,right,8301.299999952316,9187.799999952316,hospital,hospital,13910.5
wf8fa490,False,"[1006.2000000476837, 1884.1000001430511]",left,shorts,airport,other,right,2890.300000190735,3327.2000000476837,airport,airplane,4605.800000190735
wf8fa490,False,"[1130.2000000476837, 2095.2000000476837]",left,cello,bruise,correct,right,3225.4000000953674,4034.2000000476837,bruise,bruise,4863.300000190735
wf8fa490,False,"[2381.2000000476837, 1519.5999999046326]",left,basement,marble,correct,right,3900.7999999523163,4269.399999856949,marble,marble,5215.099999904633
wf8fa490,False,"[1247.7999999523163, 2232.2000000476837]",left,staff,pliers,correct,right,3480.0,3738.5,pliers,pliers,4644.799999952316
wf8fa490,False,[1849.6000001430511],left,fan,victim,correct,left,1849.6000001430511,2437.800000190735,fan,fan,2899.7000000476837
wf8fa490,False,"[755.0999999046326, 1982.1000001430511]",right,juggler,chart,intrusion,left,2737.2000000476837,3288.5999999046326,chart,nitrogen,6032.5
wf8fa490,False,"[1105.2999999523163, 1282.5, 974.0]",right,organ,dad,correct,right,3361.7999999523163,3857.100000143051,organ,organ,4700.700000047684
wf8fa490,False,[1283.5999999046326],left,crow,pad,correct,left,1283.5999999046326,2129.2999999523163,crow,crow,2802.0999999046326
wf8fa490,False,"[752.3000001907349, 1181.0999999046326]",right,molecule,bible,correct,left,1933.4000000953674,2511.600000143051,bible,bible,3325.7000000476837
wf8fa490,False,"[649.4000000953674, 1646.2999999523163, 967.9000000953674, 1066.1999998092651]",left,biologist,porpoise,other,left,4329.799999952316,5744.100000143051,biologist,worker,7533.5
wf8fa490,False,"[2542.5, 1739.7000000476837, 329.09999990463257]",left,brook,nitrogen,intrusion,left,4611.299999952316,5545.0,brook,timber,6278.0
wf8fa490,False,"[774.7999999523163, 1696.2000000476837]",left,groceries,portrait,correct,right,2471.0,3015.5999999046326,portrait,portrait,7146.399999856949
wf8fa490,False,[1756.0999999046326],left,governor,editor,correct,left,1756.0999999046326,2182.9000000953674,governor,governor,4188.299999952316
wf8fa490,False,"[764.6999998092651, 1647.2000000476837]",left,elf,omelet,intrusion,right,2411.899999856949,3871.5999999046326,omelet,molecule,5128.699999809265
wf8fa490,False,"[805.9000000953674, 1012.2999999523163]",left,novel,thread,correct,right,1818.2000000476837,2236.5,thread,thread,3069.2999999523163
wf8fa490,False,"[1227.9000000953674, 2077.0]",left,shelf,refrigerator,correct,right,3304.9000000953674,3804.7000000476837,refrigerator,refrigerator,6493.600000143051
wf8fa490,False,"[2890.4000000953674, 842.0]",left,timber,prince,correct,right,3732.4000000953674,4219.0,prince,prince,5223.799999952316
wf8fa490,False,[963.7000000476837],left,rash,fellow,correct,left,963.7000000476837,1570.7000000476837,rash,rash,2181.2999999523163
w540abdd,True,"[1334.7000000011176, 1171.5999999996275, 459.90000000037253, 1220.699999999255]",left,woman,elbow,correct,left,4186.9000000003725,5238.5,woman,woman,6194.300000000745
w540abdd,False,[1572.4000000003725],left,luggage,witch,correct,left,1572.4000000003725,2197.300000000745,luggage,luggage,3476.5
w540abdd,False,[1715.6000000014901],left,toy,patrol,correct,left,1715.6000000014901,2324.0,toy,toy,2703.10000000149
w540abdd,False,[1872.2000000011176],left,guardian,dust,correct,left,1872.2000000011176,2472.2000000011176,guardian,guardian,4089.0
w540abdd,False,[1480.5],left,doorbell,essay,correct,left,1480.5,1914.199999999255,doorbell,doorbell,3247.199999999255
w540abdd,False,[1393.2000000011176],left,literature,polyester,correct,left,1393.2000000011176,1758.9000000003725,literature,literature,3604.800000000745
w540abdd,False,"[2093.4000000003725, 7930.299999998882]",left,heel,tag,correct,right,10023.699999999255,10699.699999999255,tag,tag,11071.800000000745
w540abdd,False,[1143.300000000745],left,tent,funeral,correct,left,1143.300000000745,1542.4000000003725,tent,tent,2049.9000000003725
w540abdd,False,[1571.300000000745],left,mob,report,correct,left,1571.300000000745,2805.7000000011176,mob,mob,3519.2000000011176
w540abdd,False,[1151.2000000011176],left,bully,turnip,correct,left,1151.2000000011176,1663.800000000745,bully,bully,2519.5
w540abdd,False,[2000.800000000745],left,radiator,emperor,correct,left,2000.800000000745,2424.300000000745,radiator,radiator,4044.2000000011176
