wid,Q0,Q1,Q2,Q3
w91a24bf,no,no,no,
wf4da727,nope,nope,nope,this was really fun!
we986a69,Everything made sense,"Nope, easy",No problems,Thanks for the study!
w4cb2435,"No, the instructions were very informative and easy to understand.","No, very easy to use.",No,
wd95d41e,The instructions were simple and easy to follow.,"Not difficult.
",No,
w56b1eee,no,no,no,no
w7569874,No.,Somewhat -- I found the round with two images very clunky to input.,No.,N/A
w4874448,no thanks,name,no thanks,it's very good
w9a75935,They were not confusing.,No.,I did not.,
w6d0574a,No,No,No,No Thank you.
w39dbef4,no,no,no,"This is not a realistic memory task for any normal human. Too many pairs, most are non-sequitur correspondences. It actually became frustrating very quickly!"
w7c192d0,No,No,No,
wbfa9620,,,,
w0ae1022,no,no,no,
wcd0b554,,,,
w9f905bf,,,,
wfe7f90e,,,,
wd831796,,,,
w3faa654,the last part was a bit confusing,kinda,not really,
wa201a0e,No,No,No,
wb453b10,the instructions were long,no,no,exhausting
w3742799,No,no,no,no
w742eda0,,,,
w55bbf4f,a little confusing,no,no,no
web412f0,no,no,no,
w310c0b6,The instructions were confusing in the last round with the keys,No,No,No
w50a5f2a,confusing at first,no,no,
w5c1050d,a little bit consufing - using the arrow keys would have been easier than the letter keys. ,no,only when I accidentally hit the wrong letter. ,
wa431adf,No,No,No,No .Thanks.
w1df6428,The instructions were the perfect length and easy to follow. ,Not at all. I one or twice mistyped but that's on me. ,N/A,
w133cdda,No,No,No,
w596775d,"No, they were concise and easy to follow.",No.,No.,No.
wcc0f8d5,"No, the instructions were easy to undersand",No,No,No
wdd049e2,,,,
weaf785a,No,No,No,
w86bf95f,Confusing,No,No,
w268cca3,yes,yes,N/A,N/A
w7a95cdf,no,no,no,
wf6f1fe5,"The instructions were a bit confusing/hard to understand when just reading them, but after a couple of practice rounds I got the hang of it quickly.",No.,No.,
wc362ad1,Towards the end the instructions got a bit confusing.,No.,No.,
w6395792,,,,
w33ad6b1,no they were not,not at all,,
w0d72d69,"The instructions were hard to understand at first for the second part with D,F and J,K keys.",,,
w8b99ba6,just right,not really,no,
w297a23b,no,Not at all,nope,
wef193d9,no,no,no,very engaging survey
w61538d2,No,No,No,
w1b875e6,,,,
w87b0c79,"It was easy to understand, just very hard to remember.",It was very easy to use.,No technical problems,I have a very bad memory 
w2543015,YES,NO,NO,DIFFICULT
wfe9f2b2,no,no,no,
we1df147,No,No,No,
w2139afc,Nope! They were perfect,Everything was really easy to use,Nope,This was actually pretty fun and made me feel better about my memory
wf8fba39,no,no,no,no
wbdb91d8,"Nope, it was clear and precise!",Easy to use once you get the hang of it,Nope,"There was a typo for the word ""by"" in the very beginning survey question but I enjoyed this survey a lot! It got my brain working. It definitely got easier to memorize the second and third time."
