wid,Q0,Q1,Q2,Q3
wa170917,the instructions were clear,no problems noted,none,no thankyou
w3449f83,"No, the instructions were very clear and relevant.","No, it was perfect","No, everything went well",Thank you
w1ba500c,Initially I thought the pictures/words to memorise were part of the practice trial so I was a bit confused in the beginning that there weren't 'practice' pictures and then 'trial' pictures,,,
w2eb0473,"No, they were all clear for me to understand.","No, it all worked very well.",I did not experience any technical problems.,
w8f13728,Clear instructions,No,No,
wb05f474,no,no,sometimes during the maths quiz thing the enter button didn't seem to work ,
w3e42178,Instruction were easy to understand.,No. Easy to use,None,No further comments
w6673381,no,no,no,Although the words had no association to the picture i tried to make a link - e.g. the roof that corresponded to the word 'hat' I imagined a hat shaped like a roof
w9c366a3,The instructions were clear,No,No,
w301504c,They were understandable,No,No,
w7aeb23c,No,No,no,
wc59358c,no they were fine.,no it was OK to useno,no,none
wa8ff636,"No, not confusing.","No, not difficult to use.","no, no tech problems I was aware of","It was hard, some pairs were easy to pair like the train/volcano, tress/bear tennis court/sand with others being on the tip of my tongue, but couldn't remember and seemed to get worse the deeper into the study I got. Enjoyed it none the less."
wf62938c,no i understood all,no it was not difficult,no,no problems
wf9bbb88,Instructions were fine,No,No,"There were so many words with non related pictures, I found it impossible to retain them to memory."
w6e4477e,no,no,no,even though I didn't do very well I enjoyed the study
w8c03f69,"they were clear, a little confusing at the end before the last set of pictures but the rest was fine",no,no,"very interesting, thank you, it got my brain working"
wba81179,,,,thankyou
wace60ef,"not at all , very clear instructions .",no,no,
we7177e9,no,no,no,enjoyed that!
w25e4418,no,no,no,
w3a55674,no they were just right,"no it was very user friendly, I thought.",none,
w83f949f,no,no,no,
wf859168,no,no,no,no
wc2df447,,,,
w3c60c8f,easy to understand,easy to use,no,it was easy to understand but not at all easy to remember the words. my memopry is terrible
w63ab502,No.,No.,No.,No.
w2fbc304,A bit confusing initially.,No,,
w08e2853,no,no,no,its good and interesting 
wd1f9fe7,Not at all. Instructions were very clear.,"No, it was very easy thank you.",No.,Thank you.
w2cb8ee4,no,no,no,no
w13270fb,No but I it slowed me down thinking which buttons to press on the keyboard!,No,No,"I only got one of the mathematics sums correct, because I kept pressing the space bar, instead of enter!"
w8d6d648,The original instructions to the last part were a bit confusing because they were long but then you'd put bullet points to summarise which made it easier.,No not at all,No,Quite enjoyed it.   I tried to do word association and thought I had a good one for the dolphins but then I couldn't remember it!   It worked for the first few but then I got a bit overwhelmed trying to remember them all.
wcca8e82,No,No,No,Fun study!
wf4be769,,No,No,
w9ab7e8b,no,no,no,no
w92971f3,no they was fine ,no ,no ,
w3327b4f,a little bit ,no,no,
wf619a00,No,no,no,"The first phase, maybe give 7 or 8 seconds as I felt 5 was too short"
we6c1a6c,no they were good,no,no,thanks for the brain workout!
w0ac87c8,The first round was quite long.,"No, straightforward",No,I hope you find this helpful
w0f53a4a,`they were quite long but okay to understand after reading them,"no, not at all",no,
wbdf9bfd,I feel they could have been simplified a bit more,not at all,no,"no, I enjoyed it thank you"
we3d7909,,,,
we038022,it was quite long but not confusing just forgtful,no,none,was fun and thought i would have done better but done real bad quarter way in my mind went blank
wdb6738d,No,No,No,interesting study
w27d1f78,they were fine,no at all,none,nothing to add
w9c61770,Everything was concise and clear,"No, it was easy",No problems ,"Interesting study, thank you.  "
w385f25e,They were fine - easy to understand,No - all good,None,Enjoyed the study - thank you
w5ed1c67,fairly simple to understand,no it was simple,none,
wbe8e005,No,No,No,No :)
wccb9876,no,no,no,no
w452e4cb,no,no,no,no
w2b2845e,No,No,No,"Harder, than I thought it would be."
w17dc447,"No, all clear and simple to understand.",Not at all.,All displayed all ok.,Interesting and challenging.
w97cb2d6,No,No,No,
we5efbac,no,no,no,all good.
wd138964,,Not after I realised I could type straight away and not need the mouse to get the cursor in the typing field,,
wce60532,No,No,No,
w185f794,No,No,No,I have dyscalculia and I didn't realise this involved a mathematics section...
w8fea0d0,NO,NO,NO,None
wa869366,,,,
wea51b01,No. Instructions were easy to understand and follow.,No,No,
wf273e8c,"the only things confusing were the final rules/what made you lose money, but with a few reads it became clearer",no,no,
w288be68,No,No,No,This proves that I really need to work on my memory.
w5ba535f,A little too long.,N/A,N/A,
w65cc0d3,they was easy to understand but the words and pictures were so hard to remember,no,none at all,thanks for letting me take part. 
wa9b8628,no they were just fine ,not at all,none ,timers are stressful 
w1408765,no,no very easy actually,no,it's funny how certain things stick. for example i remembered the bone by the phrase bone china and door by the idea of a door off stage and the castle by a made up place dogcastle :)
w7aafd68,No they were ok,No it was ok,No,
w6bbb7f5,"No, it was clear to me",No,No,
w64d3bb7,Easy to understand,no,"The understanding check on the second round didn't let me click the individual answers, I had to use the shift, arrow and enter keys to manouver",
wc428d38,No,No,No,
w0116dc7,no,no,no,
w5b92bfe,,,,
wd7ee3de,No,No,No,I got one wrong due to a typo which was a bit frustrating!
wf284e3d,no,no,no,
w42a139b,Very easy to understand,Not at all,No,"Great fun, thank you"
w853ca80,,,,
w4e41de6,no,no,no,
w02c54ef,No,No,No,No
wc7f81fb,,,,
wc247740,no,no,no,
w078b094,ok,no,no,To fast for me to recall and type.
w6149082,"They were ok to follow, but did not state that you would only see the words once","No, it was very simple to use and follow",No technical issues,I assumed I would see the words multiple times so it was really hard to remember them having only seen them once
wa9d7c0d,No,No,No,
w236f570,no,no,no,
w78c257e,Easy to understand,Easy to use,No,None
we9ca70b,No they weren't confusing or too long. ,No. ,No.,
wa27a7f1,They were easy enough to understand,The interface was easy to use,No,"Sorry for my poor performance, I have terrible short term memory."
w47eb245,Nope - it all made sense.,No - all fine.,No problems.,
w79deb31,,,,
w9defaa6,no it was all ok ,no,no ,nope 
wd9e56b5,No,No,No,No
w1cddf82,Easy to understand,no,no,no
w5382e8c,no,no,no,no
w7e158ee,simple to undersatns,no,none,Very difficult to associate words with the pictures. 
wb1ae13f,No.,No.,No.,No.
w7491c37,no,no,none,
wa803a43,no,no,no,no
w8fe0d99,no,no,no,no 
wbb57e57,No,No,No,Hard! My short-term memory is not good!!!!
wcc667e3,no,no,no,
w0a9bd81,"No, the instructions were clear and simple. Except during the math questions i did not know i had to press enter. So i may have lost bonus points.","No, it was easy to use.",no,no
w2cbb682,,"In the final stage, I accidentally pressed enter too soon before I entered the word when I knew what it was, as mentally I associated it with ""see pic, press enter, type word"" (The instructions were clear, but when trying to be super fast my hands sometimes reacted before I could think about it).",,
we332d1a,no,no,no,a bit difficult to memorize the pairings
w815d464,,,,
wc07ea66,No,No,No,N/A
w4af7788,no,no,no,my memory is very poor. i struggled
w2fd2046,"No, the instructions were perfectly fine. - Really liked the quiz, to ensure the participant was actually reading, and actively participating.",Not at all.,Not at all.,
wb8d6cea,"No, they were spot on",No,Initial problem with page size,It was fun!
w8245371,No they were very easy,no,none,It was a fun experiment...but very confusing!
w675bfd2,no,no,no,no
w14234e3,not at all,no,no,no
wdb758d3,no i thought they were sufficient,no,no,
we50d44b,no,no,no,
w891b1dc,No it was all very clear,No everything seemed simple,No,No
w9d781c4,no the instructions were clear and concise.,no the interface was easy to understand,no technical problems,
wb10e20e,All fine,No,No,Don't know if you're interested in memory technique but I tried to actively find associations with elements of the images.
w916c712,,,,
w59fb8b0,,,,
w993e5e3,no,no,none,very difficult!
we93dfe3,No,No,No,I spent too long trying to come up with an associated word for the pictures (i.e. dolphin or house or castle) that i didn't remember most of the words on top of the pictures.
wd593f2b,Few too many words/pictures to remember!,"No, it seemed to be fairly easy",No problems,
w7d0818d,no,no,no,
w9e7a639,,,,
w3ec84bc,It hard to understand and follow,"It was so much and while displaying, too fast",Not at all,none for now. thanks
w521d819,Easy to underastand,No,No,n/a
w909ffa9,No,No,No,I found it quite difficult.
wfd18845,all ok,very easy,all ok,all ok
wf2b1680,No.,No.,No,
w5748904,"No they were simple, but I found it hard",No,No,No
w124cc42,it was easy to understand i liked it,no it was ok,no,
wcef7933,no,no,no,
wc1c313d,easy to understand,no,no ,
we55daff,about right,no,no,unless you have a photographic memory that is very difficult.
w99e90ad,no,no,none,none
w958729e,"A bit hard on the practice, they were confusing on exactly what to do",No,No,Fun!!!
we52649d,ok,no,no,too many pictures to remember them all
wcc42509,,,,
wc4e457f,Easy to understand,Easy to use,"Nope, no problems","I liked the study, my memory is terrible though"
w0f1be66,all was fine. Perhaps explain a little more clearly that by 'pairs' you mean the image and the word paired together. ,no -- easy,all great,Thanks for this opportunity 
wcaae241,No,Mostly no; there was one time I intended to skip a response but must have typed something in the box instead. ,No,
w76fd1c2,confusing and toolong,no,no,
wd9224fd,,,,
w9728f1f,no,no,no,no
w564ff2d,The study was a little confusing until the practice trial.,the interface was fine,"no, everything displayed fine",It was a little confusing the instructions 
w46f51fc,No,No ,"During the section where I had to answer the right questions about the task I was about to do, I put in all the right answers but it kept telling me one of them was wrong until it proceeded to the next page even though I put in all the right answers the first time. ",
w603088b,not at all,not at all,no,fun study to be part of
w440ed2a,no,no,no,no
wef0d16e,None of the above,No,No,
w1325271,"No, they were pretty straightforward and I felt it was easy to grasp. ",Not on Firefox. ,No.,
w0d40007,No,No,No,none
w7686897,no,bo,no,"I would love to see the pictures and words again at the end after the test, so I could remind myself of the ones I forgot!"
w2711f0c,no, no,no,thanks!
w88818aa,easy to understand,no,no,no
wb577e83,I think they were asequate,Easy to use,None,
wf7f864c,no,no,no,
wb75f5bf,They were fine.,No.,No.,Very interesting and engaging study.
w3966fcb,a bit too long,n0,no,no
w75a3c26,Too long,No,No,Rather monotonous
w0f4a56a,No,No,No,I've realised that I have a terrible memory!
we753ae4,All was clear,A bit. I got a bit confused with the keys I had to hit.,NO,Fun!
w9702d86,It was a simple enough task it's just the 1 time seeing all the answers is rough.,No,No,
w5d16b02,,,,
w63b09df,No,No,No,My brain hurts!
w3238754,all good,no,no,
wffe0aa5,They were clear,It was easy to use,Everything worked fine,Fun experiment. Thanks!
wca74bb8,no,no,no,underpaying
w329ad42,no,no,no,hard to remember
w39f3355,No,No,No,None
w8c9c267,"The instructions for the second part slightly confused me, so had to read it over a few times to understand when id get a reward etc. ",no,no,no
wd9ecbfb,No,No,No,No
w635f5dd,"no, they were fine","no, though I was afraid of typos in the timed event",none,I'd like to know the ones I never got right
w6a52b77,,,,
wd987062,easy to understand,no the interface was good,no technical issues at all,
wda236b4,,,,
w0dd62a1,no,no,no,
w68415b2,"No, they were fine",No,No,Ha I would love to know if anyone remembered all those words. i think I got two.
w3203f43,No not at all,No,No,Enjoyable
w5a16512,"No, they were easy to understand",no,no,
we022511,no,no,no,no
w287499b,no,no,no,
w64fdc90,hard,a bit,,
waeb42e3,No they were easy to understand.,No.,No.,
wbc78295,,,,
wf4eb65e,no,no,no,There were too many images/words to remember and they went too fast to commit to memory. It would have been good to have seen them all again!
wfb55fc4,No they were fine,no,None,I enjoyed participating
we2850e4,"no, they were easy to understand ","no, not at all",no technical issues encountered,
w783092a,the instructions were easy to understand,no,no,no
w3184bb9,no,no,no,
wcbc60f9,Easy to understand,No,None,None
we6706e4,no,no,no,
w4857550,No,no,no,would have been nice to be told what word it should have been during the first trial if done incorrectly. There was not enough of a learning phase 
w5410b1b,No,No,No,N/A
w8e7c337,no,no,no,no
wd9f6716,no,no,no,none
w57d8749,no they were ok ,all easy,none,it was a very hard memory test 
wa72fd20,no they were fine and just about the right length,no,no,
w62765f6,easy enough to understand,no,none,none
w203fe73,Nope.,Nope.,Nope.,N/A.
w0abfc32,no,no,no,
w00a7c2f,no,no,none,
wd31aa0a,no,,,
