wid,skip_rate,keep
w00221cd,0.1891891891891892,TRUE
w006b62d,0.7297297297297297,TRUE
w00a7c2f,0.02702702702702703,TRUE
w00ee195,0,TRUE
w0116dc7,1,FALSE
w01bd99c,0.2702702702702703,TRUE
w022fa74,0.43243243243243246,TRUE
w0279093,0.7837837837837838,TRUE
w02a9152,0.35135135135135137,TRUE
w02c54ef,0.16216216216216217,TRUE
w0320786,0.7837837837837838,TRUE
w03a3dc2,0.7567567567567568,TRUE
w04bf15c,0.2972972972972973,TRUE
w04e3f61,0.21621621621621623,TRUE
w059711a,0.972972972972973,FALSE
w05e98e6,0.21621621621621623,TRUE
w06610c0,0.918918918918919,FALSE
w06b6acf,0.918918918918919,FALSE
w0758f6b,1,FALSE
w077a3ed,0.972972972972973,FALSE
w078b094,0.8378378378378378,TRUE
w080cebe,0.02702702702702703,TRUE
w086ef32,0.5135135135135135,TRUE
w087590c,1,FALSE
w08e2853,0.02702702702702703,TRUE
w0a9bd81,0.3783783783783784,TRUE
w0abfc32,0.43243243243243246,TRUE
w0ac87c8,0.8918918918918919,TRUE
w0b7b597,0,TRUE
w0cbe415,0.8648648648648649,TRUE
w0d1905c,0.918918918918919,FALSE
w0d40007,0.7297297297297297,TRUE
w0dd62a1,0.7297297297297297,TRUE
w0ed29e6,0.5945945945945946,TRUE
w0f1be66,0.7297297297297297,TRUE
w0f4a56a,1,FALSE
w0f53a4a,0.8378378378378378,TRUE
w0f54095,0.5945945945945946,TRUE
w0fc8a35,0.8378378378378378,TRUE
w124cc42,0.40540540540540543,TRUE
w12a0963,0.7567567567567568,TRUE
w1325271,0.35135135135135137,TRUE
w13260c1,0.5405405405405406,TRUE
w13270fb,0.7027027027027027,TRUE
w134a209,0.4864864864864865,TRUE
w13a1a1a,0.8378378378378378,TRUE
w1403d94,0.8918918918918919,TRUE
w1408765,0.6486486486486487,TRUE
w14234e3,0.7567567567567568,TRUE
w1467e86,0,TRUE
w1471249,0.2702702702702703,TRUE
w166e106,0.2702702702702703,TRUE
w174825a,0.8378378378378378,TRUE
w1763c96,0.7297297297297297,TRUE
w1766908,0.7567567567567568,TRUE
w17c9cfb,0.32432432432432434,TRUE
w17dc447,0.24324324324324326,TRUE
w183bd54,1,FALSE
w185f794,0.8108108108108109,TRUE
w18b0ba9,0.6486486486486487,TRUE
w19db94a,0.972972972972973,FALSE
w1a46703,0.2972972972972973,TRUE
w1a4c211,0.8918918918918919,TRUE
w1b481c7,0.972972972972973,FALSE
w1ba500c,1,FALSE
w1bbe7ea,0.7837837837837838,TRUE
w1c5eba5,0.43243243243243246,TRUE
w1c91e6f,0.918918918918919,FALSE
w1cddf82,1,FALSE
