wid,practice,rt,word,target,lure,key,correct
w1c4b4a7,True,100.0,daisy,airport/sun_aqogketumcqznmzs,railway/sun_axeddylwawkspiuo,J,False
w1c4b4a7,False,2250.0,elbow,grocery/sun_ajxqnbvuflmzhcig,bookstore/sun_arnqlbdckkrvjqjj,J,True
w1c4b4a7,False,7402.0,penguin,railway/sun_axeddylwawkspiuo,pool/sun_aztsporcpcmiibon,F,True
w1c4b4a7,False,1896.0,critic,auditorium/sun_aiheutdgogkujwri,greenhouse/sun_aahkpmrwfcwqyfcf,J,True
w1c4b4a7,False,2790.0,mister,beach/sun_aabhqzsffoeycgje,footballfield/sun_aadxnjugrvhqyufw,F,False
w1c4b4a7,False,1459.0,apple,river/sun_atesawsfypjpyefy,campsite/sun_akmknzqdbcxpznth,F,True
w1c4b4a7,False,1070.0,flower,forest/sun_atohvclowaousrfh,computerroom/sun_akcjvpjqukkdanyo,F,True
w1c4b4a7,False,1116.0,magazine,greenhouse/sun_aahkpmrwfcwqyfcf,castle/sun_apkncxxjepzqmdyk,J,True
w1c4b4a7,False,5257.0,virus,pool/sun_aztsporcpcmiibon,beach/sun_aabhqzsffoeycgje,J,True
w1c4b4a7,False,1451.0,bed,footballfield/sun_aadxnjugrvhqyufw,forest/sun_atohvclowaousrfh,F,True
w1c4b4a7,False,1469.0,seagull,downtown/sun_aljrvcabwnwkorml,garage/sun_djtxkmtcichrbudp,F,True
w1c4b4a7,False,2411.0,application,kitchen/sun_avlgzqfdedxwbiei,airport/sun_aqogketumcqznmzs,F,True
w1c4b4a7,False,1548.0,community,garage/sun_djtxkmtcichrbudp,river/sun_atesawsfypjpyefy,J,True
w1c4b4a7,False,1644.0,stable,musuem/sun_atiiscmhrcnttlop,downtown/sun_aljrvcabwnwkorml,J,True
w1c4b4a7,False,1504.0,tomato,bookstore/sun_arnqlbdckkrvjqjj,house/sun_aacohnpwcrythslq,F,False
w1c4b4a7,False,1838.0,permit,campsite/sun_akmknzqdbcxpznth,gym/sun_akecysmtkjijrbqr,F,True
w1c4b4a7,False,1195.0,cookie,house/sun_aacohnpwcrythslq,musuem/sun_atiiscmhrcnttlop,J,True
w1c4b4a7,False,1564.0,captive,gym/sun_akecysmtkjijrbqr,auditorium/sun_aiheutdgogkujwri,F,True
w1c4b4a7,False,3392.0,idol,castle/sun_apkncxxjepzqmdyk,kitchen/sun_avlgzqfdedxwbiei,F,True
w1c4b4a7,False,2765.0,rouge,computerroom/sun_akcjvpjqukkdanyo,grocery/sun_ajxqnbvuflmzhcig,F,True
w1c4b4a7,False,2383.0,idol,castle/sun_apkncxxjepzqmdyk,gym/sun_akecysmtkjijrbqr,F,True
w1c4b4a7,False,1699.0,apple,river/sun_atesawsfypjpyefy,forest/sun_atohvclowaousrfh,F,True
w1c4b4a7,False,1757.0,stable,musuem/sun_atiiscmhrcnttlop,house/sun_aacohnpwcrythslq,F,True
w1c4b4a7,False,1478.0,penguin,railway/sun_axeddylwawkspiuo,garage/sun_djtxkmtcichrbudp,J,True
w1c4b4a7,False,1556.0,elbow,grocery/sun_ajxqnbvuflmzhcig,auditorium/sun_aiheutdgogkujwri,J,True
w1c4b4a7,False,1446.0,critic,auditorium/sun_aiheutdgogkujwri,campsite/sun_akmknzqdbcxpznth,F,True
w1c4b4a7,False,1145.0,flower,forest/sun_atohvclowaousrfh,beach/sun_aabhqzsffoeycgje,F,True
w1c4b4a7,False,1478.0,mister,beach/sun_aabhqzsffoeycgje,grocery/sun_ajxqnbvuflmzhcig,J,True
w1c4b4a7,False,1237.0,captive,gym/sun_akecysmtkjijrbqr,greenhouse/sun_aahkpmrwfcwqyfcf,J,True
w1c4b4a7,False,1440.0,community,garage/sun_djtxkmtcichrbudp,kitchen/sun_avlgzqfdedxwbiei,J,True
w1c4b4a7,False,1035.0,rouge,computerroom/sun_akcjvpjqukkdanyo,river/sun_atesawsfypjpyefy,J,True
w1c4b4a7,False,1027.0,seagull,downtown/sun_aljrvcabwnwkorml,castle/sun_apkncxxjepzqmdyk,J,True
w1c4b4a7,False,2371.0,bed,footballfield/sun_aadxnjugrvhqyufw,railway/sun_axeddylwawkspiuo,J,True
w1c4b4a7,False,1134.0,virus,pool/sun_aztsporcpcmiibon,downtown/sun_aljrvcabwnwkorml,F,True
w1c4b4a7,False,1154.0,cookie,house/sun_aacohnpwcrythslq,airport/sun_aqogketumcqznmzs,F,True
w1c4b4a7,False,1520.0,daisy,airport/sun_aqogketumcqznmzs,pool/sun_aztsporcpcmiibon,J,True
w1c4b4a7,False,1819.0,permit,campsite/sun_akmknzqdbcxpznth,musuem/sun_atiiscmhrcnttlop,F,True
w1c4b4a7,False,1507.0,application,kitchen/sun_avlgzqfdedxwbiei,computerroom/sun_akcjvpjqukkdanyo,J,True
w1c4b4a7,False,1656.0,tomato,bookstore/sun_arnqlbdckkrvjqjj,footballfield/sun_aadxnjugrvhqyufw,J,True
w1c4b4a7,False,1021.0,magazine,greenhouse/sun_aahkpmrwfcwqyfcf,bookstore/sun_arnqlbdckkrvjqjj,F,True
w1c4b4a7,False,1897.0,tomato,bookstore/sun_arnqlbdckkrvjqjj,river/sun_atesawsfypjpyefy,F,True
w1c4b4a7,False,1487.0,idol,castle/sun_apkncxxjepzqmdyk,musuem/sun_atiiscmhrcnttlop,J,True
w1c4b4a7,False,1226.0,critic,auditorium/sun_aiheutdgogkujwri,garage/sun_djtxkmtcichrbudp,F,True
w1c4b4a7,False,998.0,magazine,greenhouse/sun_aahkpmrwfcwqyfcf,auditorium/sun_aiheutdgogkujwri,F,True
w1c4b4a7,False,1078.0,daisy,airport/sun_aqogketumcqznmzs,pool/sun_aztsporcpcmiibon,J,True
w1c4b4a7,False,1386.0,apple,river/sun_atesawsfypjpyefy,footballfield/sun_aadxnjugrvhqyufw,F,True
w1c4b4a7,False,852.0,seagull,downtown/sun_aljrvcabwnwkorml,railway/sun_axeddylwawkspiuo,J,True
w1c4b4a7,False,1260.0,mister,beach/sun_aabhqzsffoeycgje,greenhouse/sun_aahkpmrwfcwqyfcf,J,True
w1c4b4a7,False,1296.0,captive,gym/sun_akecysmtkjijrbqr,computerroom/sun_akcjvpjqukkdanyo,J,True
w1c4b4a7,False,1344.0,elbow,grocery/sun_ajxqnbvuflmzhcig,campsite/sun_akmknzqdbcxpznth,J,True
w1c4b4a7,False,1558.0,cookie,house/sun_aacohnpwcrythslq,forest/sun_atohvclowaousrfh,F,True
w1c4b4a7,False,1392.0,virus,pool/sun_aztsporcpcmiibon,bookstore/sun_arnqlbdckkrvjqjj,J,True
w1c4b4a7,False,2358.0,permit,campsite/sun_akmknzqdbcxpznth,house/sun_aacohnpwcrythslq,F,True
w1c4b4a7,False,1175.0,flower,forest/sun_atohvclowaousrfh,downtown/sun_aljrvcabwnwkorml,J,True
w1c4b4a7,False,1978.0,community,garage/sun_djtxkmtcichrbudp,kitchen/sun_avlgzqfdedxwbiei,F,True
w1c4b4a7,False,1301.0,application,kitchen/sun_avlgzqfdedxwbiei,gym/sun_akecysmtkjijrbqr,F,True
w1c4b4a7,False,1116.0,penguin,railway/sun_axeddylwawkspiuo,airport/sun_aqogketumcqznmzs,F,True
w1c4b4a7,False,934.0,rouge,computerroom/sun_akcjvpjqukkdanyo,grocery/sun_ajxqnbvuflmzhcig,J,True
w1c4b4a7,False,915.0,stable,musuem/sun_atiiscmhrcnttlop,beach/sun_aabhqzsffoeycgje,F,True
w1c4b4a7,False,1536.0,bed,footballfield/sun_aadxnjugrvhqyufw,castle/sun_apkncxxjepzqmdyk,J,True
w531e249,True,1513.0,consumer,auditorium/sun_amogjvmhqoxmxbyg,grocery/sun_ajfkrdilcurxubxd,J,True
w531e249,False,1038.0,department,gym/sun_auzbqfsaebhgtrig,auditorium/sun_amogjvmhqoxmxbyg,J,True
w531e249,False,2519.0,transplant,musuem/sun_akxippvbzxkxmejj,downtown/sun_ahtmvwmmrlbrfchd,J,True
w531e249,False,882.0,strawberry,railway/sun_acfjiedtgqzgvtnp,footballfield/sun_aadxnjugrvhqyufw,J,True
w531e249,False,1886.0,neck,river/sun_awyqyxlrmqvjlwnd,beach/sun_acbeypdvskqxwbrf,J,True
w531e249,False,1835.0,banana,house/sun_admwlghhtfixlbsf,castle/sun_aqdmndojwupcntcn,J,True
w531e249,False,1159.0,captive,beach/sun_acbeypdvskqxwbrf,gym/sun_auzbqfsaebhgtrig,F,True
w531e249,False,1406.0,scapegoat,garage/sun_danujvtkymldhxqn,greenhouse/sun_amgolruftenzsoay,J,True
w531e249,False,1138.0,gravel,greenhouse/sun_amgolruftenzsoay,pool/sun_aelfhlyhvuglfcha,J,True
w531e249,False,680.0,penguin,forest/sun_avyyymflzsdrwgbe,airport/sun_axuntpkgfijknxde,J,True
w531e249,False,1154.0,virus,castle/sun_aqdmndojwupcntcn,river/sun_awyqyxlrmqvjlwnd,F,True
w531e249,False,1536.0,eagle,grocery/sun_ajfkrdilcurxubxd,campsite/sun_agjhcohmxuuaimig,J,False
w531e249,False,1112.0,baby,downtown/sun_ahtmvwmmrlbrfchd,computerroom/sun_aagspgyvjmoiytfb,J,True
w531e249,False,1338.0,rebel,campsite/sun_agjhcohmxuuaimig,bookstore/sun_azkcgugtqfaunxwq,F,True
w531e249,False,1750.0,electron,kitchen/sun_axvexejcndazoqxl,musuem/sun_akxippvbzxkxmejj,F,True
w531e249,False,1723.0,follower,computerroom/sun_aagspgyvjmoiytfb,house/sun_admwlghhtfixlbsf,J,True
w531e249,False,664.0,tulip,bookstore/sun_azkcgugtqfaunxwq,garage/sun_danujvtkymldhxqn,J,True
w531e249,False,1124.0,barracuda,footballfield/sun_aadxnjugrvhqyufw,forest/sun_avyyymflzsdrwgbe,J,True
w531e249,False,1142.0,traitor,pool/sun_aelfhlyhvuglfcha,railway/sun_acfjiedtgqzgvtnp,J,True
w531e249,False,1418.0,elephant,airport/sun_axuntpkgfijknxde,kitchen/sun_axvexejcndazoqxl,F,True
w531e249,False,955.0,electron,kitchen/sun_axvexejcndazoqxl,computerroom/sun_aagspgyvjmoiytfb,F,True
w531e249,False,724.0,elephant,airport/sun_axuntpkgfijknxde,musuem/sun_akxippvbzxkxmejj,F,True
w531e249,False,905.0,baby,downtown/sun_ahtmvwmmrlbrfchd,gym/sun_auzbqfsaebhgtrig,F,True
w531e249,False,960.0,scapegoat,garage/sun_danujvtkymldhxqn,footballfield/sun_aadxnjugrvhqyufw,F,True
w531e249,False,966.0,neck,river/sun_awyqyxlrmqvjlwnd,beach/sun_acbeypdvskqxwbrf,F,True
