wid,rt,typing_rt,word,word_type,response_type,response,type_time
we2c6fc4,6292,8466.0,crutch,low,other,market,5401.130000129342
we2c6fc4,4004,4762.0,teenager,high,correct,teenager,2929.0050000417978
we2c6fc4,2182,2979.0,receipt,low,correct,receipt,3452.1200000308454
we2c6fc4,5012,5848.0,ancestor,high,correct,ancestor,2975.9599999524653
we2c6fc4,2638,3417.0,dog,high,correct,dog,1173.8849999383092
we2c6fc4,6114,7621.0,indian,high,intrusion,fan,2713.875000132248
we2c6fc4,4731,5626.0,mummy,high,correct,mummy,2092.695000115782
we2c6fc4,9181,9729.0,transplant,low,other,can,859.9150001537055
we2c6fc4,6719,7627.0,bluejay,high,other,art,1430.794999934733
we2c6fc4,2750,3857.0,poet,low,correct,poet,1811.8749998975545
we2c6fc4,1553,2448.0,juvenile,high,correct,juvenile,3763.63499998115
we2c6fc4,4002,4916.0,flask,low,correct,flask,1804.5049998909235
we2c6fc4,1533,1977.0,spouse,high,correct,spouse,2627.0699999295175
we2c6fc4,2852,3809.0,fan,low,correct,fan,1289.3650000914931
we2c6fc4,1268,1690.0,cent,low,correct,cent,1326.7350001260638
we2c6fc4,1365,2352.0,rebel,low,correct,rebel,2118.925000075251
we2c6fc4,1322,2273.0,boyfriend,high,correct,boyfriend,3208.0900000873953
we2c6fc4,1620,2575.0,stamp,low,correct,stamp,2642.86999986507
we2c6fc4,2518,3453.0,goose,low,correct,goose,1758.6250000167638
we2c6fc4,2017,2892.0,pole,high,correct,pole,2911.2350000068545
w2c734e6,911,1873.0,bulb,low,correct,bulb,2932.805000000051
w2c734e6,795,1808.0,stewardess,high,correct,stewardess,2970.045000000042
w2c734e6,1425,2241.0,telephone,low,other,telephone',3521.725000000035
w2c734e6,1353,1909.0,fan,low,correct,fan,1296.2550000000047
w2c734e6,1306,2116.0,father,high,other,grandfather,3005.3549999999814
w2c734e6,1634,2681.0,coward,high,correct,coward,2178.719999999972
w2c734e6,2506,5838.0,bluejay,high,other,hawkings,5560.179999999935
w2c734e6,1067,1863.0,alligator,high,correct,alligator,3212.410000000091
w2c734e6,1262,2742.0,knife,high,correct,knife,2136.9599999999045
w2c734e6,1102,1919.0,youth,high,correct,youth,2556.770000000077
w2c734e6,1195,2219.0,escalator,low,other,escavater,3937.429999999935
w2c734e6,792,1619.0,rider,low,correct,rider,1369.0399999999208
w2c734e6,1157,1965.0,teenager,high,correct,teenager,2959.6200000001118
w2c734e6,1510,2301.0,microphone,low,correct,microphone,4585.020000000077
w2c734e6,1939,2774.0,poet,low,correct,poet,1441.6149999999907
w2c734e6,1125,1836.0,sardine,low,correct,sardine,1825.219999999972
w2c734e6,1086,1735.0,thief,high,correct,thief,1355.554999999993
w2c734e6,1115,2314.0,chime,low,correct,chime,1877.884999999893
w2c734e6,1141,1868.0,army,high,correct,army,2278.425000000163
w2c734e6,1183,2809.0,buckle,low,correct,buckle,2471.274999999907
wcec674a,8223,9414.0,film,low,correct,film,1855.6850000022678
wcec674a,2820,3518.0,bluejay,high,other,blue jay,1772.8000000061002
wcec674a,1770,2241.0,teenager,high,correct,teenagers,2757.5549999892246
wcec674a,1237,1608.0,joker,low,correct,joker,1029.8250000050757
wcec674a,1886,2568.0,youth,high,correct,youth,1919.0050000033807
wcec674a,1514,1785.0,fan,low,correct,fan,776.8800000048941
wcec674a,2917,3815.0,horizon,high,correct,horizon,2609.230000001844
wcec674a,1550,1980.0,goose,low,correct,goose,1792.7749999944353
wcec674a,1735,2155.0,bathroom,low,correct,bathroom,1303.6900000006426
wcec674a,2195,3222.0,giraffe,high,correct,giraffe,2596.9699999986915
wcec674a,921,1315.0,noose,high,correct,noose,1164.7249999950873
wcec674a,3202,3925.0,stamp,low,correct,stamp,1641.1949999892386
wcec674a,2307,2718.0,army,high,correct,army,1190.1599999982864
wcec674a,2654,3132.0,smog,low,correct,smog,1031.4650000073016
wcec674a,2185,2679.0,cable,low,correct,cable,2007.8550000034738
wcec674a,8462,8848.0,outdoors,low,other,outside,1851.64999999688
wcec674a,1734,2665.0,student,high,correct,student,2192.639999993844
wcec674a,1834,2411.0,monk,high,correct,monk,1391.380000000936
wcec674a,1733,2003.0,pigment,low,correct,pigment,1243.5700000060024
wcec674a,2206,2629.0,alligator,high,correct,alligator,2260.1050000084797
w9d02222,12094,20264.0,whale,high,intrusion,needle,9676.004999999364
w9d02222,3840,5073.0,switch,low,correct,switch,2288.3350000010687
