wid,practice,presentation_times,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type
wf1e76ec,True,"[641.5999999046326, 501.7999999523163, 446.90000009536743, 231.09999990463257, 336.0, 224.0, 256.90000009536743, 305.5, 1174.5999999046326, 379.90000009536743, 145.5, 150.5, 91.29999995231628, 141.70000004768372, 567]",left,kidney,harp,left,5594.299999952316,14083.0,kidney,curtain,15341.599999904633,intrusion
wf1e76ec,False,"[741.2999999523163, 559.5, 2.0, 653.1000001430511, 461.09999990463257, 321.2999999523163, 239.5, 2699.100000143051]",left,dial,cube,right,5676.900000095367,7738.599999904633,cube,cube,8527.799999952316,correct
wf1e76ec,False,"[309.19999980926514, 361.80000019073486, 2398.0999999046326]",right,curtain,perfume,right,3069.0999999046326,3396.699999809265,curtain,pool,5105.099999904633,intrusion
wf1e76ec,False,"[1735.9000000953674, 735.9000000953674, 264.0, 433.2999999523163, 468.2999999523163]",right,organ,drink,right,3637.4000000953674,5647.600000143051,organ,organ,6095.900000095367,correct
wf1e76ec,False,"[908.9000000953674, 278.2999999523163, 543.6000001430511]",right,jeans,pool,right,1730.8000001907349,2267.9000000953674,jeans,jeand,2846.9000000953674,correct
wf1e76ec,False,"[600.5, 308.2999999523163, 1325.7999999523163]",right,newspaper,ankle,right,2234.5999999046326,3034.7000000476837,newspaper,newspaper,3816.399999856949,correct
wf1e76ec,False,"[319.7999999523163, 468.2000000476837, 738.4000000953674]",right,gift,carpenter,right,1526.4000000953674,2005.7000000476837,gift,gift,2525.7000000476837,correct
wf1e76ec,False,"[160.20000004768372, 470.7000000476837, 561.2000000476837]",left,pad,sock,left,1192.1000001430511,1678.9000000953674,pad,pad,2014.2000000476837,correct
wf1e76ec,False,"[324.5, 746.3000001907349, 1453.7999999523163]",right,fountain,sailor,right,2524.600000143051,3130.800000190735,fountain,fountain,4574.600000143051,correct
wf1e76ec,False,"[366.90000009536743, 866.0999999046326, 2917.9000000953674]",right,dryer,check,right,4150.900000095367,4658.799999952316,dryer,curtain,6201.100000143051,intrusion
wf1e76ec,False,"[117.40000009536743, 337.59999990463257, 590.7999999523163]",left,pump,drum,left,1045.7999999523163,1445.1000001430511,pump,pump,2298.0,correct
wf1e76ec,False,"[78.29999995231628, 480.10000014305115, 655.0]",right,puzzle,periscope,right,1213.4000000953674,1639.2999999523163,puzzle,puzzle,2372.7999999523163,correct
wf1e76ec,False,"[199.0, 276.39999985694885, 258.7000000476837, 625.0]",right,bath,movie,left,1359.0999999046326,1799.8999998569489,movie,movie,2378.0999999046326,correct
wf1e76ec,False,"[137.29999995231628, 289.2999999523163, 595.7000000476837]",right,toast,grease,right,1022.2999999523163,1475.0,toast,toast,1897.2000000476837,correct
wf1e76ec,False,"[12.799999952316284, 314.09999990463257, 233, 738.9000000953674]",left,application,electron,right,1298.7999999523163,1858.8999998569489,electron,electron,3677.899999856949,correct
wf1e76ec,False,"[53.299999952316284, 382.09999990463257, 689.7999999523163]",left,shortcake,mushroom,left,1125.1999998092651,1585.1999998092651,shortcake,shortcake,2468.399999856949,correct
wf1e76ec,False,"[175.59999990463257, 334.10000014305115, 438.0]",left,slope,deputy,left,947.7000000476837,1361.5999999046326,slope,slope,2675.5,correct
wf1e76ec,False,"[263.5, 948.7000000476837]",right,stocking,apple,left,1212.2000000476837,1574.6000001430511,apple,apple,2180.7000000476837,correct
wf1e76ec,False,"[280.59999990463257, 870.0]",left,toilet,physician,right,1150.5999999046326,1572.7000000476837,physician,physician,2802.7999999523163,correct
wf1e76ec,False,"[113.60000014305115, 449.09999990463257, 604.2999999523163]",left,carpet,ladder,left,1167.0,1619.1000001430511,carpet,carpet,3370.0,correct
w0a28cf4,True,"[1326.3999999761581, 2932]",left,mailman,receptionist,right,4258.399999976158,5335.899999976158,receptionist,receptionist,14570.399999976158,correct
w0a28cf4,False,"[1467.0999999940395, 3147.4000000059605]",left,pit,powder,left,4614.5,5449.799999982119,pit,no idea,6577.199999988079,other
w0a28cf4,False,"[1214.5999999940395, 2796.7000000178814]",left,elevator,joint,left,4011.300000011921,4818.0999999940395,elevator,no idea,6166.0,other
w0a28cf4,False,"[1076.0999999940395, 2564.5999999940395]",left,grizzly,galaxy,left,3640.699999988079,4503.899999976158,grizzly,no idea,5577.799999982119,other
w0a28cf4,False,"[950.1999999880791, 3507.699999988079]",left,quill,disc,right,4457.899999976158,7728.799999982119,disc,don't remember,9771.299999982119,other
w0a28cf4,False,"[1398.3999999761581, 1614.4000000059605, 3285.5]",left,ranch,astronaut,left,6298.299999982119,8162.0999999940395,ranch,no,8747.899999976158,other
w0a28cf4,False,"[1618.5, 1853.0, 4197.0999999940395]",left,freckle,plant,right,7668.5999999940395,9102.800000011921,plant,no,9685.59999999404,other
w0a28cf4,False,[2454.100000023842],left,toast,celery,left,2454.100000023842,2991.800000011921,toast,toast,4333.700000017881,correct
w0a28cf4,False,[3676.199999988079],left,candy,bone,left,3676.199999988079,4039.4000000059605,candy,candy,5298.4000000059605,correct
w0a28cf4,False,"[1571.9000000059605, 647.5999999940395, 1406.9000000059605]",left,cashier,employer,left,3626.4000000059605,4224.799999982119,cashier,receptionist,6240.5,intrusion
w0a28cf4,False,"[912.2999999821186, 1958.6000000238419]",left,waiter,can,right,2870.9000000059605,3578.699999988079,can,no idea,4619.9000000059605,other
w0a28cf4,False,"[3591.5, 822.9000000059605, 1620.5]",left,dove,cane,left,6034.9000000059605,6521.5,dove,dove,7139.5,correct
w0a28cf4,False,"[1016.8000000119209, 2320.699999988079]",left,patient,blossom,right,3337.5,3833.800000011921,blossom,no,4302.700000017881,other
w0a28cf4,False,"[1027.1000000238419, 2253.699999988079]",left,builder,package,right,3280.800000011921,3980.5,package,no,4439.200000017881,other
w0a28cf4,False,[1924.1000000238419],left,moon,surgeon,left,1924.1000000238419,2341.100000023842,moon,moon,3177.600000023842,correct
w0a28cf4,False,[3113.5],left,swan,towel,left,3113.5,5748.4000000059605,swan,swan,6550.600000023842,correct
w0a28cf4,False,"[952.8000000119209, 2162.5999999940395]",left,tapioca,bay,right,3115.4000000059605,3700.4000000059605,bay,no,4150.9000000059605,other
w0a28cf4,False,"[1477.0, 626.5999999940395, 2034.300000011921]",left,dungeon,judge,left,4137.9000000059605,4511.800000011921,dungeon,receptionist,6468.5,intrusion
